Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_safety,def_pa,def_tyda,fpts
Baltimore Ravens,BAL,3.1,1.1,0.7,1.1,0.2,0.0,15.7,285.1,8.9
Tampa Bay Buccaneers,TB,2.7,1.0,0.8,1.3,0.2,0.0,18.9,332.0,8.7
Los Angeles Rams,LAR,2.9,1.0,0.7,1.1,0.2,0.1,18.1,312.0,8.6
San Francisco 49ers,SF,2.8,0.8,0.8,1.4,0.2,0.0,18.2,320.3,8.0
Denver Broncos,DEN,2.4,1.0,0.6,0.8,0.2,0.0,19.5,296.2,7.5
Philadelphia Eagles,PHI,2.6,1.0,0.6,0.8,0.2,0.0,25.4,345.0,6.7
Seattle Seahawks,SEA,2.3,1.1,0.6,0.9,0.2,0.0,22.7,352.1,6.7
Carolina Panthers,CAR,2.7,0.9,0.6,0.9,0.1,0.0,25.4,357.1,6.6
Minnesota Vikings,MIN,2.9,0.8,0.6,0.8,0.1,0.0,24.8,357.8,6.5
Green Bay Packers,GB,2.7,0.9,0.6,0.8,0.1,0.0,24.5,411.3,6.5
Arizona Cardinals,ARI,2.7,0.8,0.6,1.2,0.1,0.1,22.8,351.6,6.5
Kansas City Chiefs,KC,2.6,0.9,0.5,0.8,0.2,0.0,20.7,342.1,6.5
Indianapolis Colts,IND,2.3,1.0,0.6,0.9,0.1,0.1,20.5,329.7,6.4
New York Jets,NYJ,2.6,0.9,0.6,0.9,0.1,0.0,20.2,310.2,6.4
New Orleans Saints,NO,2.8,0.8,0.6,0.9,0.1,0.0,23.3,353.0,6.4
Jacksonville Jaguars,JAC,2.9,0.7,0.6,0.9,0.1,0.0,24.5,356.6,6.3
Dallas Cowboys,DAL,2.3,1.0,0.6,0.9,0.1,0.0,21.9,349.8,6.3
Las Vegas Raiders,LV,2.5,0.9,0.6,0.8,0.1,0.0,25.5,383.3,6.2
Cleveland Browns,CLE,2.5,0.7,0.7,1.0,0.1,0.0,28.3,409.3,6.1
Houston Texans,HOU,2.4,0.8,0.6,1.0,0.1,0.0,23.1,349.6,6.0
Chicago Bears,CHI,2.1,0.9,0.6,0.8,0.2,0.1,20.1,335.8,6.0
Buffalo Bills,BUF,2.5,0.7,0.6,1.0,0.1,0.0,21.8,337.8,5.9
Cincinnati Bengals,CIN,2.4,0.7,0.5,0.6,0.1,0.0,22.4,359.0,5.7
Miami Dolphins,MIA,2.7,0.6,0.5,0.7,0.1,0.0,28.3,394.8,5.7
Washington Football Team,WF,2.6,0.7,0.6,0.9,0.1,0.0,28.5,380.4,5.7
New England Patriots,NE,2.0,0.7,0.6,0.9,0.1,0.0,26.9,380.2,5.4
Los Angeles Chargers,LAC,2.0,0.7,0.5,0.6,0.1,0.0,23.3,354.8,5.4
New York Giants,NYG,1.9,0.8,0.5,0.7,0.1,0.0,27.9,386.8,5.2
Atlanta Falcons,ATL,2.3,0.5,0.6,0.8,0.1,0.0,29.4,378.8,5.1
Detroit Lions,DET,1.7,0.6,0.5,0.6,0.1,0.0,26.4,382.5,4.5
