Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2270734651,NFL Wrangler Let the Games Begin,93172533,$0,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,1. Column A lists all of your contest entries for this draftgroup
2270711717,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,2. Your current lineup is listed next to each entry (blank for reservations)
2270711718,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2270711719,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2270711720,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,5. For faster processing only include entries you are changing in the file you upload
2270711721,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,
2270711722,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2270711723,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Christian McCaffrey (15560280),Christian McCaffrey,15560280,RB/FLEX,8600,CAR@ATL 10/11/2020 01:00PM ET,CAR,26.65
2270711724,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,DeAndre Hopkins (15560510),DeAndre Hopkins,15560510,WR/FLEX,7900,ARI@NYJ 10/11/2020 01:00PM ET,ARI,22.68
2270711725,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Lamar Jackson (15560217),Lamar Jackson,15560217,QB,7900,CIN@BAL 10/11/2020 01:00PM ET,BAL,21.56
2270711726,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Ezekiel Elliott (15560282),Ezekiel Elliott,15560282,RB/FLEX,7800,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.55
2270711727,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Patrick Mahomes (15560218),Patrick Mahomes,15560218,QB,7700,LV@KC 10/11/2020 01:00PM ET,KC,28.54
2270711728,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Calvin Ridley (15560512),Calvin Ridley,15560512,WR/FLEX,7500,CAR@ATL 10/11/2020 01:00PM ET,ATL,22.38
2270711729,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Josh Allen (15560219),Josh Allen,15560219,QB,7500,Postponed,BUF,33.08
2270711730,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Dak Prescott (15560220),Dak Prescott,15560220,QB,7400,NYG@DAL 10/11/2020 04:25PM ET,DAL,34.3
2270711731,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Amari Cooper (15560514),Amari Cooper,15560514,WR/FLEX,7400,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.78
2270711732,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Kyler Murray (15560221),Kyler Murray,15560221,QB,7200,ARI@NYJ 10/11/2020 01:00PM ET,ARI,27.32
