Player,Team,Opp,Time,"FD Pos","FD Draft %","FD Sal","DK Pos","DK Draft %","DK Sal"
"Alvin Kamara",NO,DET,"Sun 01:00 EDT",RB,24.4%,8800,RB,22.1%,8000
"Ezekiel Elliott",DAL,CLE,"Sun 01:00 EDT",RB,23.9%,9000,RB,22.7%,7800
"Los Angeles Rams",LA,NYG,"Sun 04:05 EDT",DST,22.0%,4800,DST,20.6%,3900
"Joe Mixon",CIN,JAC,"Sun 01:00 EDT",RB,21.2%,6800,RB,19.3%,5800
"DK Metcalf",SEA,MIA,"Sun 01:00 EDT",WR,19.0%,6900,WR,17.6%,6800
"Mike Davis",CAR,ARI,"Sun 01:00 EDT",RB,18.8%,6300,RB,16.9%,5700
"Kenyan Drake",ARI,CAR,"Sun 01:00 EDT",RB,16.3%,7000,RB,14.4%,6000
"DeAndre Hopkins",ARI,CAR,"Sun 01:00 EDT",WR,15.3%,8700,WR,14.9%,8500
"Baltimore Ravens",BAL,WAS,"Sun 01:00 EDT",DST,14.3%,5000,DST,13.5%,4000
"Amari Cooper",DAL,CLE,"Sun 01:00 EDT",WR,13.4%,7100,WR,13.1%,6700
"Chicago Bears",CHI,IND,"Sun 01:00 EDT",DST,13.3%,4100,DST,13.4%,3100
"Cooper Kupp",LA,NYG,"Sun 04:05 EDT",WR,13.3%,7200,WR,13.1%,6700
"Russell Wilson",SEA,MIA,"Sun 01:00 EDT",QB,13.2%,9000,QB,13.0%,7800
"Michael Thomas",NO,DET,"Sun 01:00 EDT",WR,12.9%,8800,WR,13.7%,7600
"James Robinson",JAC,CIN,"Sun 01:00 EDT",RB,12.5%,6600,RB,10.1%,6500
"Tyler Lockett",SEA,MIA,"Sun 01:00 EDT",WR,12.4%,7500,WR,12.3%,7000
"Travis Kelce",KC,NE,"Sun 04:25 EDT",TE,12.1%,7600,TE,12.0%,6800
"D.J. Moore",CAR,ARI,"Sun 01:00 EDT",WR,12.1%,6800,WR,13.7%,5600
"Darren Waller",LV,BUF,"Sun 04:25 EDT",TE,11.9%,6700,TE,13.9%,5200
"Tyreek Hill",KC,NE,"Sun 04:25 EDT",WR,11.9%,8000,WR,12.7%,6900
"Lamar Jackson",BAL,WAS,"Sun 01:00 EDT",QB,11.8%,9600,QB,11.9%,8100
