Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,George Kittle,SF,MIA,1,2,1.2,0.4,14.3,0.16000000000000003
2,Travis Kelce,KC,LV,1,4,1.9,0.6,14.3,0.36
3,Mark Andrews,BAL,CIN,2,5,3.2,0.5,13.7,0.125
4,Darren Waller,LV,KC,2,5,3.8,0.6,12.1,0.18
5,Hunter Henry,LAC,NO,4,10,5.8,1.1,12.1,0.30250000000000005
6,Zach Ertz,PHI,PIT,4,10,6.5,1.3,11.4,0.42250000000000004
7,Dalton Schultz,DAL,NYG,5,15,8.0,1.9,10.7,0.722
8,Evan Engram,NYG,DAL,4,13,8.4,1.4,8.8,0.48999999999999994
9,Tyler Higbee,LAR,WAS,6,12,9.0,1.3,8.1,0.2816666666666667
10,Jonnu Smith,TEN,BUF,3,19,9.6,3.8,7.6,4.8133333333333335
11,Hayden Hurst,ATL,CAR,7,20,10.9,1.4,7.5,0.27999999999999997
12,Mike Gesicki,MIA,SF,9,18,12.0,2.0,7.2,0.4444444444444444
13,Eric Ebron,PIT,PHI,10,19,13.8,1.8,7.2,0.324
14,Rob Gronkowski,TB,CHI,8,31,14.2,2.4,7.1,0.72
15,Jimmy Graham,CHI,TB,11,20,14.7,2.1,7.0,0.40090909090909094
16,Austin Hooper,CLE,IND,13,22,16.6,1.8,6.7,0.24923076923076926
17,Logan Thomas,WAS,LAR,13,27,17.6,2.4,6.6,0.44307692307692303
18,Greg Olsen,SEA,MIN,11,28,17.7,2.9,6.1,0.7645454545454545
19,Drew Sample,CIN,BAL,14,25,20.0,1.9,5.7,0.25785714285714284
20,Mo Alie-Cox,IND,CLE,10,29,20.4,3.3,5.6,1.089
21,Chris Herndon IV,NYJ,ARI,10,25,21.7,2.1,5.2,0.441
22,Ian Thomas,CAR,ATL,13,30,23.6,2.7,5.1,0.5607692307692308
23,Tyler Eifert,JAC,HOU,21,38,24.6,2.9,5.0,0.4004761904761905
24,Cameron Brate,TB,CHI,15,33,26.6,3.4,4.7,0.7706666666666666
25,Darren Fells,HOU,JAC,18,37,27.7,3.8,4.4,0.8022222222222222
26,Kyle Rudolph,MIN,SEA,21,31,26.7,2.0,4.4,0.19047619047619047
27,Jack Doyle,IND,CLE,14,42,28.2,3.5,4.1,0.875
28,Dan Arnold,ARI,NYJ,26,35,30.0,1.8,4.0,0.12461538461538463
29,Dawson Knox,BUF,TEN,18,37,29.7,2.4,4.0,0.32
