Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Alvin Kamara,NO,12.7,61.0,0.7,6.7,56.8,0.4,0.1,21.7
Ezekiel Elliott,DAL,20.4,86.6,0.8,4.1,32.5,0.2,0.2,19.3
Clyde Edwards-Helaire,KC,16.9,75.4,0.7,3.3,30.9,0.2,0.1,17.1
Dalvin Cook,MIN,16.4,76.1,0.7,3.5,28.4,0.1,0.2,16.7
Derrick Henry,TEN,20.2,92.8,0.8,1.9,15.4,0.1,0.1,16.6
Kareem Hunt,CLE,14.5,67.6,0.6,3.3,28.7,0.2,0.1,15.9
Mike Davis,CAR,14.6,59.9,0.6,4.7,33.3,0.2,0.1,15.9
James Robinson,JAC,16.5,73.4,0.6,3.0,27.1,0.1,0.1,15.6
Josh Jacobs,LV,17.9,82.5,0.6,3.0,23.0,0.1,0.1,15.6
Chris Carson,SEA,16.0,69.7,0.6,3.0,22.5,0.2,0.2,15.4
James Conner,PIT,14.9,64.6,0.7,3.2,26.9,0.1,0.1,15.3
Miles Sanders,PHI,13.9,61.3,0.3,3.9,35.6,0.3,0.1,14.9
Joe Mixon,CIN,17.1,71.6,0.5,2.9,22.9,0.1,0.1,14.4
Ronald Jones II,TB,16.6,67.1,0.5,3.3,23.3,0.1,0.1,14.0
Jonathan Taylor,IND,15.1,65.0,0.6,2.4,21.2,0.1,0.1,13.9
Todd Gurley II,ATL,14.7,65.5,0.8,1.9,14.6,0.1,0.1,13.9
David Johnson,HOU,15.2,59.5,0.6,2.6,24.4,0.1,0.1,13.7
Devin Singletary,BUF,13.5,63.3,0.4,3.0,23.7,0.1,0.1,13.3
Jerick McKinnon,SF,11.6,48.1,0.5,3.2,27.0,0.2,0.1,13.0
Antonio Gibson,WAS,12.8,52.9,0.5,2.4,20.8,0.1,0.1,12.1
Kenyan Drake,ARI,15.2,65.1,0.4,1.9,13.9,0.1,0.1,11.8
David Montgomery,CHI,15.5,55.2,0.3,2.5,20.2,0.1,0.1,11.1
Raheem Mostert,SF,10.8,55.9,0.4,1.7,15.7,0.1,0.1,11.0
Le'Veon Bell,NYJ,11.9,47.7,0.2,3.6,25.7,0.1,0.1,10.3
Myles Gaskin,MIA,11.3,46.2,0.2,3.5,24.6,0.1,0.1,10.2
Joshua Kelley,LAC,12.7,51.2,0.3,2.3,20.0,0.1,0.2,10.1
Mark Ingram II,BAL,9.9,46.3,0.5,1.5,12.2,0.1,0.1,9.8
Devonta Freeman,NYG,10.1,43.5,0.2,2.4,18.4,0.1,0.1,9.4
Darrell Henderson,LAR,10.5,50.5,0.3,1.7,14.2,0.0,0.1,9.3
Latavius Murray,NO,10.1,42.4,0.3,1.8,12.0,0.0,0.1,8.3
Malcolm Brown,LAR,8.4,33.6,0.2,2.2,15.7,0.1,0.1,7.6
Nyheim Hines,IND,5.0,19.6,0.1,3.4,26.1,0.1,0.1,7.4
Justin Jackson,LAC,9.9,35.9,0.1,2.1,14.5,0.0,0.1,7.1
Chase Edmonds,ARI,5.3,21.0,0.1,2.5,19.0,0.1,0.0,6.9
J.D. McKissic,WAS,5.9,21.3,0.1,3.0,20.7,0.1,0.1,6.7
Duke Johnson Jr.,HOU,4.8,21.5,0.1,2.5,21.9,0.1,0.1,6.6
J.K. Dobbins,BAL,6.1,26.8,0.2,1.6,13.2,0.1,0.0,6.2
