Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2270734651,NFL Wrangler Let the Games Begin,93172533,$0,Kyle Allen (15560271) (LOCKED),Mike Davis (15560300) (LOCKED),James Robinson (15560290) (LOCKED),T.Y. Hilton (15560572),Terry McLaurin (15560538) (LOCKED),Robert Woods (15560532) (LOCKED),Logan Thomas (15560884) (LOCKED),Ezekiel Elliott (15560282),Cardinals (15561041) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2270711717,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Mike Davis (15560300) (LOCKED),David Johnson (15560324) (LOCKED),Brandon Aiyuk (15560564),T.Y. Hilton (15560572),DeVante Parker (15560544),George Kittle (15560848),Ezekiel Elliott (15560282),Jets (15561057) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2270711718,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Mike Davis (15560300) (LOCKED),James Robinson (15560290) (LOCKED),Jarvis Landry (15560570),Deebo Samuel (15560562),Preston Williams (15560630),George Kittle (15560848),Ezekiel Elliott (15560282),WAS Football Team (15561055) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2270711719,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),Brandon Aiyuk (15560564),Brandin Cooks (15560624) (LOCKED),Deebo Samuel (15560562),Mike Gesicki (15560862),Kareem Hunt (15560296),Cardinals (15561041) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2270711720,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Kyle Allen (15560271) (LOCKED),James Conner (15560286) (LOCKED),David Johnson (15560324) (LOCKED),Cooper Kupp (15560528) (LOCKED),Terry McLaurin (15560538) (LOCKED),DJ Moore (15560542) (LOCKED),Logan Thomas (15560884) (LOCKED),Ezekiel Elliott (15560282),Ravens (15561044) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2270711721,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Kyle Allen (15560271) (LOCKED),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),Cooper Kupp (15560528) (LOCKED),Terry McLaurin (15560538) (LOCKED),Isaiah Wright (15560786) (LOCKED),Darren Waller (15560854) (LOCKED),Kareem Hunt (15560296),49ers (15561045),,
2270711722,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Joe Mixon (15560302) (LOCKED),James Robinson (15560290) (LOCKED),Kendrick Bourne (15560620),DeVante Parker (15560544),Olamide Zaccheaus (15560814) (LOCKED),George Kittle (15560848),Ezekiel Elliott (15560282),Rams (15561042) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2270711723,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Kenyan Drake (15560316) (LOCKED),Antonio Gibson (15560328) (LOCKED),Brandon Aiyuk (15560564),DJ Moore (15560542) (LOCKED),Preston Williams (15560630),George Kittle (15560848),Ezekiel Elliott (15560282),Cardinals (15561041) (LOCKED),,RB,Christian McCaffrey (15560280) (LOCKED),Christian McCaffrey,15560280,RB/FLEX,8600,In Progress,CAR,26.65
2270711724,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Kyle Allen (15560271) (LOCKED),Mike Davis (15560300) (LOCKED),David Johnson (15560324) (LOCKED),DeAndre Hopkins (15560510) (LOCKED),Dontrelle Inman (15560650) (LOCKED),Terry McLaurin (15560538) (LOCKED),Tyler Higbee (15560858) (LOCKED),Ezekiel Elliott (15560282),Cowboys (15561050),,WR,DeAndre Hopkins (15560510) (LOCKED),DeAndre Hopkins,15560510,WR/FLEX,7900,In Progress,ARI,22.68
2270711725,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Gardner Minshew II (15560225) (LOCKED),Mike Davis (15560300) (LOCKED),Joe Mixon (15560302) (LOCKED),DJ Chark Jr. (15560526) (LOCKED),T.Y. Hilton (15560572),Laviska Shenault Jr. (15560608) (LOCKED),Darren Fells (15560894) (LOCKED),Ezekiel Elliott (15560282),Rams (15561042) (LOCKED),,QB,Lamar Jackson (15560217) (LOCKED),Lamar Jackson,15560217,QB,7900,In Progress,BAL,21.56
2270711726,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Clyde Edwards-Helaire (15560288) (LOCKED),Todd Gurley II (15560314) (LOCKED),Brandin Cooks (15560624) (LOCKED),DeVante Parker (15560544),Deebo Samuel (15560562),George Kittle (15560848),Ezekiel Elliott (15560282),Bengals (15561060) (LOCKED),,RB,Ezekiel Elliott (15560282),Ezekiel Elliott,15560282,RB/FLEX,7800,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.55
2270711727,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Mike Davis (15560300) (LOCKED),Antonio Gibson (15560328) (LOCKED),Kendrick Bourne (15560620),DeVante Parker (15560544),Deebo Samuel (15560562),Darren Waller (15560854) (LOCKED),Ezekiel Elliott (15560282),Ravens (15561044) (LOCKED),,QB,Patrick Mahomes (15560218) (LOCKED),Patrick Mahomes,15560218,QB,7700,In Progress,KC,28.54
2270711728,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),Kendrick Bourne (15560620),Isaiah Ford (15560658),Tyreek Hill (15560518) (LOCKED),George Kittle (15560848),Jonathan Taylor (15560306),Jaguars (15561052) (LOCKED),,WR,Calvin Ridley (15560512) (LOCKED),Calvin Ridley,15560512,WR/FLEX,7500,In Progress,ATL,22.38
2270711729,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Derek Carr (15560240) (LOCKED),Mike Davis (15560300) (LOCKED),Joe Mixon (15560302) (LOCKED),Brandin Cooks (15560624) (LOCKED),Tyreek Hill (15560518) (LOCKED),Henry Ruggs III (15560594) (LOCKED),Darren Waller (15560854) (LOCKED),Ezekiel Elliott (15560282),WAS Football Team (15561055) (LOCKED),,QB,Josh Allen (15560219),Josh Allen,15560219,QB,7500,Postponed,BUF,33.08
2270711730,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Gardner Minshew II (15560225) (LOCKED),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),Keelan Cole (15560592) (LOCKED),Brandin Cooks (15560624) (LOCKED),Laviska Shenault Jr. (15560608) (LOCKED),Travis Kelce (15560850) (LOCKED),Jonathan Taylor (15560306),49ers (15561045),,QB,Dak Prescott (15560220),Dak Prescott,15560220,QB,7400,NYG@DAL 10/11/2020 04:25PM ET,DAL,34.3
2270711731,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Gardner Minshew II (15560225) (LOCKED),Mike Davis (15560300) (LOCKED),Antonio Gibson (15560328) (LOCKED),DJ Chark Jr. (15560526) (LOCKED),Will Fuller V (15560524) (LOCKED),Diontae Johnson (15560552) (LOCKED),Tyler Eifert (15560892) (LOCKED),Ezekiel Elliott (15560282),Jets (15561057) (LOCKED),,WR,Amari Cooper (15560514),Amari Cooper,15560514,WR/FLEX,7400,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.78
2270711732,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Kareem Hunt (15560296),David Johnson (15560324) (LOCKED),Isaiah Ford (15560658),DJ Moore (15560542) (LOCKED),Deebo Samuel (15560562),George Kittle (15560848),Ezekiel Elliott (15560282),Chiefs (15561047) (LOCKED),,QB,Kyler Murray (15560221) (LOCKED),Kyler Murray,15560221,QB,7200,In Progress,ARI,27.32
2270711733,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Patrick Mahomes (15560218) (LOCKED),Mike Davis (15560300) (LOCKED),Antonio Gibson (15560328) (LOCKED),Mecole Hardman (15560614) (LOCKED),Tyreek Hill (15560518) (LOCKED),Henry Ruggs III (15560594) (LOCKED),Darren Fells (15560894) (LOCKED),Ezekiel Elliott (15560282),49ers (15561045),,RB,Derrick Henry (15560284),Derrick Henry,15560284,RB/FLEX,7000,Postponed,TEN,19.17
