"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Baltimore Ravens (BAL) ","at PHI"," 5.4","A+","9.1","+4.5","60% (9/15)"
"2","Indianapolis Colts (IND) ","vs. CIN"," 7.3","A","8.7","+2.2","53% (8/15)"
"3","New England Patriots (NE) ","vs. DEN"," 9.7","A","8.1","+3.8","50% (7/14)"
"4","Los Angeles Rams (LAR) ","at SF"," 9.5","A-","7.7","+1.9","60% (9/15)"
"5","Pittsburgh Steelers (PIT) ","vs. CLE"," 1.9","B+","7.7","+2.7","64% (9/14)"
"6","Miami Dolphins (MIA) ","vs. NYJ"," 5.8","B+","7.6","-2.3","18% (3/16)"
"7","Washington Football Team (WAS) ","at NYG"," 8.7","B","7.5","-0.7","46% (7/15)"
"8","Chicago Bears (CHI) ","at CAR"," 2.9","B","7.1","-2.8","13% (2/15)"
"9","New York Giants (NYG) ","vs. WAS"," 6.8","B-","7.0","-1.1","40% (6/15)"
"10","Kansas City Chiefs (KC) ","at BUF"," 2.3","B-","6.9","+1.8","56% (9/16)"
"11","Carolina Panthers (CAR) ","vs. CHI"," 6.2","C+","6.6","-2.6","20% (3/15)"
"12","Tennessee Titans (TEN) ","vs. HOU"," 4.0","C+","6.6","+0.6","42% (6/14)"
"13","San Francisco 49ers (SF) ","vs. LAR"," 3.8","C","6.4","-0.1","41% (7/17)"
"14","Arizona Cardinals (ARI) ","at DAL"," 5.4","C","6.3","-1.5","33% (5/15)"
"15","Green Bay Packers (GB) ","at TB"," 9.7","C","6.3","-1.0","28% (4/14)"
"16","Minnesota Vikings (MIN) ","vs. ATL"," 1.9","C-","6.3","+0.3","40% (6/15)"
"17","Cleveland Browns (CLE) ","at PIT"," 1.9","C-","6.2","-1.2","26% (4/15)"
"18","Cincinnati Bengals (CIN) ","at IND"," 6.2","D+","6.0","-2.5","26% (4/15)"
"19","Tampa Bay Buccaneers (TB) ","vs. GB"," 1.9","D","5.9","+1.1","40% (6/15)"
"20","New York Jets (NYJ) ","at MIA"," 1.9","D","5.8","-0.3","43% (7/16)"
"21","Detroit Lions (DET) ","at JAC"," 7.1","D","5.7","-3.7","20% (3/15)"
"22","Denver Broncos (DEN) ","at NE"," 9.7","D","5.7","+0.3","42% (6/14)"
"23","Buffalo Bills (BUF) ","vs. KC"," 1.9","D-","5.7","-1.5","40% (6/15)"
"24","Dallas Cowboys (DAL) ","vs. ARI"," 5.0","F","5.7","-2.5","26% (4/15)"
"25","Philadelphia Eagles (PHI) ","vs. BAL"," 8.5","F","5.5","-1.6","33% (5/15)"
"26","Jacksonville Jaguars (JAC) ","vs. DET"," 4.4","F","5.3","-2.0","33% (5/15)"
"27","Houston Texans (HOU) ","at TEN"," 1.9","F","5.1","-1.3","26% (4/15)"
"28","Atlanta Falcons (ATL) ","at MIN"," 6.0","F","5.0","-1.3","33% (5/15)"
