"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Ezekiel Elliott (DAL) ","vs. ARI"," 6.8","A+","20.5","+1.2","56% (9/16)"
"2","Derrick Henry (TEN) ","vs. HOU"," 7.0","A+","20.4","+3.0","64% (9/14)"
"3","Mike Davis (CAR) ","vs. CHI"," 7.2","A","19.8","+2.3","41% (5/12)"
"4","Alexander Mattison (MIN) ","vs. ATL"," 4.2","A","19.0","+1.1","53% (7/13)"
"5","Kareem Hunt (CLE) ","at PIT"," 6.4","A","18.7","+2.7","84% (11/13)"
"6","James Robinson (JAC) ","vs. DET"," 8.6","A","18.0","+2.8","60% (3/5)"
"7","Clyde Edwards-Helaire (KC) ","at BUF"," 4.8","A","17.9","-2.3","40% (2/5)"
"8","Jonathan Taylor (IND) ","vs. CIN"," 7.4","A","17.3","-0.2","60% (3/5)"
"9","Aaron Jones (GB) ","at TB"," 4.0","A","17.3","+2.9","60% (9/15)"
"10","James Conner (PIT) ","vs. CLE"," 4.4","A-","17.1","-0.4","55% (5/9)"
"11","Miles Sanders (PHI) ","vs. BAL"," 3.6","A-","17.0","+1.4","53% (8/15)"
"12","Joe Mixon (CIN) ","at IND"," 5.2","A-","16.3","+1.8","50% (8/16)"
"13","David Montgomery (CHI) ","at CAR"," 8.0","A-","16.2","-0.1","37% (6/16)"
"14","Todd Gurley II (ATL) ","at MIN"," 8.2","B+","15.2","-0.1","53% (8/15)"
"15","Ronald Jones II (TB) ","vs. GB"," 6.6","B","15.1","+0.5","50% (8/16)"
"16","Raheem Mostert (SF) ","vs. LAR"," 8.0","B+","14.8","+4.0","60% (9/15)"
"17","Antonio Gibson (WAS) ","at NYG"," 7.0","B","14.7","+1.8","60% (3/5)"
"18","David Johnson (HOU) ","at TEN"," 6.4","B","14.6","-3.1","21% (3/14)"
"19","Myles Gaskin (MIA) ","vs. NYJ"," 7.2","B","14.0","+1.5","58% (7/12)"
"20","Kenyan Drake (ARI) ","at DAL"," 8.2","B","13.6","+1.8","26% (4/15)"
"21","Devin Singletary (BUF) ","vs. KC"," 7.8","B-","13.3","-0.8","46% (7/15)"
"22","Devonta Freeman (NYG) ","vs. WAS"," 5.8","B-","13.1","+0.5","41% (5/12)"
"23","Darrell Henderson (LAR) ","at SF"," 6.0","B-","11.8","+1.0","46% (7/15)"
"24","Chase Edmonds (ARI) ","at DAL"," 5.6","C+","10.6","+2.8","41% (5/12)"
"25","James White (NE) ","vs. DEN"," 5.6","C+","10.1","+0.4","38% (5/13)"
"26","Phillip Lindsay (DEN) ","at NE"," 5.4","C+","10.0","-3.0","33% (4/12)"
"27","Nyheim Hines (IND) ","vs. CIN"," 6.6","C+","9.8","+1.0","56% (9/16)"
"28","Mark Ingram II (BAL) ","at PHI"," 4.8","C","9.6","-0.2","46% (7/15)"
"29","Adrian Peterson (DET) Q ","at JAC"," 4.4","C","8.7","+2.2","60% (9/15)"
"30","D'Andre Swift (DET) ","at JAC"," 5.8","C","8.7","+2.3","75% (3/4)"
"31","Damien Harris (NE) ","vs. DEN"," 2.8","C","8.4","+1.4","40% (2/5)"
"32","J.D. McKissic (WAS) ","at NYG"," 8.2","C","8.2","-0.5","41% (7/17)"
"33","Jerick McKinnon (SF) ","vs. LAR"," 7.8","C","8.0","+2.3","80% (4/5)"
"34","Cam Akers (LAR) ","at SF"," 6.6","C-","8.0","-3.1","33% (1/3)"
"35","J.K. Dobbins (BAL) ","at PHI"," 3.8","C","7.8","+0.9","60% (3/5)"
"36","Rex Burkhead (NE) ","vs. DEN"," 5.2","C-","7.6","+1.8","46% (6/13)"
"37","Duke Johnson Jr. (HOU) ","at TEN"," 6.0","C-","7.6","+0.5","50% (7/14)"
"38","Malcolm Brown (LAR) ","at SF"," 6.2","C-","6.7","+0.3","42% (6/14)"
"39","Frank Gore (NYJ) ","at MIA"," 9.2","D+","6.3","-2.6","12% (2/16)"
"40","Brian Hill (ATL) ","at MIN"," 7.0","D+","6.2","+1.2","50% (8/16)"
"41","Jamaal Williams (GB) ","at TB"," 4.2","D+","6.2","+2.0","57% (8/14)"
"42","Gus Edwards (BAL) ","at PHI"," 6.0","D","6.0","+1.1","37% (6/16)"
"43","Zack Moss (BUF) ","vs. KC"," 8.4","D","5.8","-0.3","50% (1/2)"
"44","D'Ernest Johnson (CLE) ","at PIT"," 6.0","D","5.8","-0.1","13% (2/15)"
"45","Chris Thompson (JAC) ","vs. DET"," 6.4","D","5.8","-1.9","45% (5/11)"
"46","Leonard Fournette (TB) Q ","vs. GB"," 7.8","D","5.6","-2.3","14% (2/14)"
"47","Tony Pollard (DAL) ","vs. ARI"," 5.8","D","5.4","+1.4","40% (6/15)"
"48","Wayne Gallman (NYG) ","vs. WAS"," 5.2","F","5.4","-0.8","27% (3/11)"
"49","Matt Breida (MIA) ","vs. NYJ"," 7.4","D-","5.3","-2.3","28% (4/14)"
"50","Mike Boone (MIN) ","vs. ATL"," 3.6","F","5.0","+1.2","25% (4/16)"
"51","Darrel Williams (KC) ","at BUF"," 3.4","F","5.0","-0.5","27% (3/11)"
"52","Giovani Bernard (CIN) ","at IND"," 7.2","F","4.8","-1.3","50% (8/16)"
"53","Royce Freeman (DEN) ","at NE"," 5.4","D-","4.6","-1.2","40% (6/15)"
"54","Dion Lewis (NYG) ","vs. WAS"," 5.0","F","4.5","-1.1","25% (4/16)"
"55","Ke'Shawn Vaughn (TB) ","vs. GB"," 7.0","F","4.4","-0.4","20% (1/5)"
"56","Lamical Perine (NYJ) ","at MIA"," 9.0","F","4.2","-1.3","25% (1/4)"
"57","Boston Scott (PHI) ","vs. BAL"," 4.2","F","4.2","+1.9","37% (6/16)"
"58","Kerryon Johnson (DET) ","at JAC"," 5.2","F","4.0","-2.4","25% (2/8)"
