"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Travis Kelce (KC) ","at BUF"," 6.6","A+","17.9","-0.2","50% (8/16)"
"2","George Kittle (SF) ","vs. LAR"," 7.0","A","15.8","+1.2","53% (7/13)"
"3","Mark Andrews (BAL) ","at PHI"," 8.4","A-","15.1","+0.1","53% (8/15)"
"4","Jonnu Smith (TEN) ","vs. HOU"," 8.0","B+","13.5","+2.4","53% (8/15)"
"5","T.J. Hockenson (DET) ","at JAC"," 7.8","B","11.2","-0.8","36% (4/11)"
"6","Zach Ertz (PHI) ","vs. BAL"," 5.6","B-","11.1","-1.7","33% (5/15)"
"7","Evan Engram (NYG) ","vs. WAS"," 8.0","C+","10.7","-3.4","37% (3/8)"
"8","Mike Gesicki (MIA) ","vs. NYJ"," 6.2","C","10.7","+1.5","47% (8/17)"
"9","Robert Tonyan (GB) ","at TB"," 4.6","C","10.2","+3.2","41% (5/12)"
"10","Eric Ebron (PIT) ","vs. CLE"," 6.2","C","10.0","-0.1","44% (4/9)"
"11","Dalton Schultz (DAL) ","vs. ARI"," 6.4","C","8.7","+0.9","26% (4/15)"
"12","Jimmy Graham (CHI) ","at CAR"," 4.6","C-","8.6","+0.7","43% (7/16)"
"13","Hayden Hurst (ATL) Q ","at MIN"," 5.2","D+","8.3","-1.1","18% (3/16)"
"14","Tyler Higbee (LAR) ","at SF"," 5.8","D+","8.2","+1.9","56% (9/16)"
"15","Austin Hooper (CLE) ","at PIT"," 3.4","D+","7.9","-0.9","46% (6/13)"
"16","Trey Burton (IND) ","vs. CIN"," 5.2","D","6.8","-1.0","40% (2/5)"
"17","Rob Gronkowski (TB) ","vs. GB"," 6.4","D","6.7","-2.6","20% (1/5)"
"18","Irv Smith Jr. (MIN) ","vs. ATL"," 8.2","D","6.6","-0.1","43% (7/16)"
"19","Logan Thomas (WAS) ","at NYG"," 3.6","D","6.5","-0.5","31% (5/16)"
"20","Drew Sample (CIN) ","at IND"," 5.6","D-","5.9","0.0","33% (3/9)"
"21","Darren Fells (HOU) ","at TEN"," 8.2","D-","5.9","+0.2","37% (6/16)"
"22","Tyler Eifert (JAC) Q ","vs. DET"," 5.0","D-","5.5","+0.5","37% (6/16)"
"23","Gerald Everett (LAR) ","at SF"," 4.4","F","5.4","-0.1","38% (5/13)"
"24","Kyle Rudolph (MIN) ","vs. ATL"," 8.2","F","5.3","+1.6","50% (8/16)"
"25","Ian Thomas (CAR) ","vs. CHI"," 7.4","F","5.2","-0.6","25% (4/16)"
"26","Cameron Brate (TB) ","vs. GB"," 5.8","F","4.9","+0.4","43% (7/16)"
"27","Chris Herndon IV (NYJ) ","at MIA"," 4.0","F","4.6","-4.7","0% (0/6)"
"28","Jack Doyle (IND) ","vs. CIN"," 5.2","F","4.6","-2.4","26% (4/15)"
"29","Dan Arnold (ARI) ","at DAL"," 6.2","F","4.4","-0.2","36% (4/11)"
"30","Nick Boyle (BAL) ","at PHI"," 9.2","F","4.4","+0.3","31% (5/16)"
"31","James O'Shaughnessy (JAC) ","vs. DET"," 6.4","F","4.3","+0.6","60% (3/5)"
"32","Tyler Kroft (BUF) ","vs. KC"," 6.2","F","4.2","-0.2","25% (4/16)"
"33","David Njoku (CLE) ","at PIT"," 4.0","F","3.9","+0.4","25% (1/4)"
"34","Anthony Firkser (TEN) ","vs. HOU"," 7.8","F","3.6","+0.1","50% (7/14)"
"35","Vance McDonald (PIT) ","vs. CLE"," 6.6","F","3.4","-1.8","14% (2/14)"
"36","Jake Butt (DEN) ","at NE"," 2.6","F","3.3","-0.9","25% (1/4)"
"37","Ryan Izzo (NE) ","vs. DEN"," 5.4","F","3.3","-1.5","22% (2/9)"
"38","Darrell Daniels (ARI) ","at DAL"," 7.0","F","3.1","+0.1","20% (3/15)"
"39","Harrison Bryant (CLE) ","at PIT"," 4.0","F","2.9","+0.2","40% (2/5)"
"40","Richard Rodgers (PHI) ","vs. BAL"," 5.2","F","2.9","+0.4","40% (2/5)"
"41","Ryan Griffin (NYJ) ","at MIA"," 3.8","F","2.8","+2.0","46% (6/13)"
"42","Jesse James (DET) ","at JAC"," 8.0","F","2.7","-0.6","18% (3/16)"
"43","Jace Sternberger (GB) ","at TB"," 5.2","F","2.6","-1.1","7% (1/13)"
"44","Nick Vannett (DEN) ","at NE"," 2.6","F","2.6","-0.7","28% (4/14)"
"45","Kaden Smith (NYG) ","vs. WAS"," 8.2","F","2.5","+1.6","38% (5/13)"
"46","Adam Shaheen (MIA) ","vs. NYJ"," 6.6","F","2.4","-0.1","37% (3/8)"
"47","Demetrius Harris (CHI) ","at CAR"," 5.6","F","2.4","+0.5","35% (5/14)"
"48","Albert Okwuegbunam (DEN) ","at NE"," 2.6","F","2.3","-0.7","0% (0/3)"
"49","Blake Bell (DAL) ","vs. ARI"," 6.2","F","2.2","+0.1","26% (4/15)"
"50","Chris Manhertz (CAR) ","vs. CHI"," 7.2","F","2.2","-0.3","20% (3/15)"
"51","Tanner Hudson (TB) ","vs. GB"," 5.8","F","2.1","-","-"
"52","Ross Dwelley (SF) ","vs. LAR"," 6.6","F","2.1","+0.4","23% (4/17)"
"53","Cole Kmet (CHI) ","at CAR"," 5.6","F","2.1","-1.5","0% (0/5)"
"54","Cethan Carter (CIN) ","at IND"," 5.6","F","2.0","+0.2","14% (2/14)"
"55","Luke Stocker (ATL) ","at MIN"," 5.8","F","2.0","-1.2","21% (3/14)"
"56","Lee Smith (BUF) ","vs. KC"," 6.2","F","2.0","-0.1","21% (3/14)"
"57","MyCole Pruitt (TEN) COV-IR ","vs. HOU"," 7.8","F","2.0","0.0","35% (5/14)"
"58","Trevon Wesco (NYJ) ","at MIA"," 3.8","F","1.9","-0.2","18% (3/16)"
"59","Devin Asiasi (NE) ","vs. DEN"," 5.8","F","1.9","-1.9","0% (0/4)"
"60","Marcedes Lewis (GB) ","at TB"," 5.2","F","1.7","-0.3","23% (3/13)"
"61","Tyler Conklin (MIN) ","vs. ATL"," 8.2","F","1.5","-0.1","20% (3/15)"
"62","Jaeden Graham (ATL) ","at MIN"," 5.8","F","1.4","-0.1","33% (5/15)"
"63","Nick Keizer (KC) ","at BUF"," 6.2","F","1.4","-0.8","0% (0/5)"
"64","Jeremy Sprinkle (WAS) ","at NYG"," 3.8","F","1.4","-0.6","18% (3/16)"
"65","Durham Smythe (MIA) Q ","vs. NYJ"," 6.6","F","1.3","-0.3","26% (4/15)"
"66","Pharaoh Brown (HOU) ","at TEN"," 9.0","F","1.3","-","-"
"67","Deon Yelder (KC) ","at BUF"," 6.2","F","1.3","-0.6","13% (2/15)"
"68","Levine Toilolo (NYG) ","vs. WAS"," 8.2","F","1.2","-0.7","12% (2/16)"
"69","Johnny Mundt (LAR) ","at SF"," 4.8","F","1.2","-0.1","23% (3/13)"
"70","Noah Togiai (IND) ","vs. CIN","-","F","1.2","-1.7","0% (0/4)"
"71","Marcus Baugh (WAS) ","at NYG","-","F","1.2","-0.7","25% (1/4)"
"72","Temarrick Hemingway (WAS) ","at NYG"," 3.8","F","1.2","-","-"
