"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","DeAndre Hopkins (ARI) ","at DAL"," 9.9","A+","21.8","+0.3","53% (8/15)"
"2","Adam Thielen (MIN) ","vs. ATL"," 7.4","A+","21.0","-2.0","36% (4/11)"
"3","Tyreek Hill (KC) ","at BUF"," 4.8","A+","19.7","-0.3","50% (8/16)"
"4","Calvin Ridley (ATL) ","at MIN"," 6.4","A+","19.1","+1.6","58% (7/12)"
"5","Davante Adams (GB) ","at TB"," 4.8","A+","19.0","-0.1","60% (6/10)"
"6","Allen Robinson II (CHI) ","at CAR"," 4.2","A+","18.2","0.0","50% (8/16)"
"7","Stefon Diggs (BUF) ","vs. KC"," 4.4","A","18.1","+0.5","37% (6/16)"
"8","Cooper Kupp (LAR) ","at SF"," 5.8","A","17.6","-2.2","43% (7/16)"
"9","Amari Cooper (DAL) ","vs. ARI"," 6.0","A","17.4","-3.1","31% (5/16)"
"10","Robert Woods (LAR) ","at SF"," 5.8","A","17.2","+0.7","60% (9/15)"
"11","Kenny Golladay (DET) ","at JAC"," 8.8","A","16.7","+0.5","64% (9/14)"
"12","Mike Evans (TB) ","vs. GB"," 6.2","A","16.7","+1.7","58% (7/12)"
"13","Will Fuller V (HOU) ","at TEN"," 4.6","A","16.6","-2.5","45% (5/11)"
"14","Terry McLaurin (WAS) ","at NYG"," 6.4","A-","16.4","-1.3","33% (5/15)"
"15","Robby Anderson (CAR) ","vs. CHI"," 4.8","A-","16.0","+1.8","64% (11/17)"
"16","A.J. Brown (TEN) ","vs. HOU"," 6.6","A-","16.0","+2.7","61% (8/13)"
"17","CeeDee Lamb (DAL) ","vs. ARI"," 5.8","A-","15.6","+4.8","100% (5/5)"
"18","Marquise Brown (BAL) ","at PHI"," 6.4","A-","15.6","-2.2","38% (5/13)"
"19","Odell Beckham Jr. (CLE) Q ","at PIT"," 6.8","B+","15.5","-0.6","37% (6/16)"
"20","Justin Jefferson (MIN) ","vs. ATL"," 7.0","B","15.5","+2.2","40% (2/5)"
"21","D.J. Moore (CAR) ","vs. CHI"," 4.6","B+","15.5","-0.7","46% (7/15)"
"22","JuJu Smith-Schuster (PIT) ","vs. CLE"," 7.0","B+","15.2","-3.8","27% (3/11)"
"23","DeVante Parker (MIA) ","vs. NYJ"," 7.6","B+","15.2","+2.4","58% (10/17)"
"24","Jamison Crowder (NYJ) ","at MIA"," 4.0","B","14.7","+1.5","60% (9/15)"
"25","Tyler Boyd (CIN) ","at IND"," 4.0","B","14.5","-1.1","37% (6/16)"
"26","Chase Claypool (PIT) ","vs. CLE"," 7.8","B","14.2","+11.6","75% (3/4)"
"27","Darius Slayton (NYG) Q ","vs. WAS"," 7.0","B-","13.5","+2.1","43% (7/16)"
"28","Chris Godwin (TB) ","vs. GB"," 6.4","B+","13.5","-1.3","27% (3/11)"
"29","Laviska Shenault Jr. (JAC) ","vs. DET"," 6.2","B-","13.4","+1.6","80% (4/5)"
