Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2289290533,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darnell Mooney (15608011) (LOCKED),Darius Slayton (15607849) (LOCKED),Evan Engram (15608123) (LOCKED),James Robinson (15607607) (LOCKED),Ravens (15608281) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2289467283,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Justin Jefferson (15607835) (LOCKED),Darnell Mooney (15608011) (LOCKED),Calvin Ridley (15607805) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),James Robinson (15607607) (LOCKED),Broncos (15608286) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2289467284,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Kenny Golladay (15607831) (LOCKED),Terry McLaurin (15607841) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Tyler Eifert (15608145) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Ravens (15608281) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2289467285,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Justin Jefferson (15607835) (LOCKED),Adam Thielen (15607807) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Trey Burton (15608155) (LOCKED),Aaron Jones (15607595),Jets (15608299),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2289467286,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Justin Jefferson (15607835) (LOCKED),Terry McLaurin (15607841) (LOCKED),Adam Thielen (15607807) (LOCKED),Hayden Hurst (15608125) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Bengals (15608302) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2289467287,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Julio Jones (15607815) (LOCKED),Jarvis Landry (15607865) (LOCKED),Adam Thielen (15607807) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Ronald Jones II (15607621),Bengals (15608302) (LOCKED),,
2289467288,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Kalif Raymond (15607945) (LOCKED),Darius Slayton (15607849) (LOCKED),Darren Fells (15608137) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2289467289,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Baker Mayfield (15607549) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Odell Beckham Jr. (15607823) (LOCKED),Jarvis Landry (15607865) (LOCKED),Terry McLaurin (15607841) (LOCKED),Eric Ebron (15608131) (LOCKED),James Robinson (15607607) (LOCKED),Bengals (15608302) (LOCKED),,RB,Christian McCaffrey (15607591) (LOCKED),Christian McCaffrey,15607591,RB/FLEX,8500,In Progress,CAR,26.65
2289467290,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Kenny Golladay (15607831) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Darnell Mooney (15608011) (LOCKED),Tyler Eifert (15608145) (LOCKED),Aaron Jones (15607595),Patriots (15608282) (LOCKED),,RB,Dalvin Cook (15607593) (LOCKED),Dalvin Cook,15607593,RB/FLEX,8000,In Progress,MIN,24.06
2289467291,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Keelan Cole (15607867) (LOCKED),Darnell Mooney (15608011) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Aaron Jones (15607595),WAS Football Team (15608288) (LOCKED),,WR,Davante Adams (15607803),Davante Adams,15607803,WR/FLEX,8000,GB@TB 10/18/2020 04:25PM ET,GB,25.6
2289467292,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),David Johnson (15607627) (LOCKED),Justin Jefferson (15607835) (LOCKED),Julio Jones (15607815) (LOCKED),Terry McLaurin (15607841) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Aaron Jones (15607595),Lions (15608291) (LOCKED),,WR,Calvin Ridley (15607805) (LOCKED),Calvin Ridley,15607805,WR/FLEX,7800,In Progress,ATL,22.82
2289467293,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Julio Jones (15607815) (LOCKED),Darnell Mooney (15608011) (LOCKED),Adam Thielen (15607807) (LOCKED),Kyle Rudolph (15608139) (LOCKED),David Johnson (15607627) (LOCKED),Colts (15608283) (LOCKED),,QB,Lamar Jackson (15607534) (LOCKED),Lamar Jackson,15607534,QB,7700,In Progress,BAL,20.15
2289467294,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Will Fuller V (15607813) (LOCKED),Darnell Mooney (15608011) (LOCKED),Jonnu Smith (15608115) (LOCKED),Joe Mixon (15607615) (LOCKED),Broncos (15608286) (LOCKED),,RB,Aaron Jones (15607595),Aaron Jones,15607595,RB/FLEX,7600,GB@TB 10/18/2020 04:25PM ET,GB,26.22
2289467295,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Russell Gage (15607873) (LOCKED),T.Y. Hilton (15607861) (LOCKED),Adam Thielen (15607807) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Aaron Jones (15607595),Panthers (15608292) (LOCKED),,QB,Aaron Rodgers (15607535),Aaron Rodgers,15607535,QB,7500,GB@TB 10/18/2020 04:25PM ET,GB,27.52
2289467296,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Joe Mixon (15607615) (LOCKED),A.J. Brown (15607845) (LOCKED),Calvin Ridley (15607805) (LOCKED),Adam Thielen (15607807) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Buccaneers (15608290),,WR,Adam Thielen (15607807) (LOCKED),Adam Thielen,15607807,WR/FLEX,7300,In Progress,MIN,22.18
2289467297,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kyle Allen (15607561) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Kenny Golladay (15607831) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darius Slayton (15607849) (LOCKED),Logan Thomas (15608151) (LOCKED),Aaron Jones (15607595),Jets (15608299),,RB,Derrick Henry (15607597) (LOCKED),Derrick Henry,15607597,RB/FLEX,7300,In Progress,TEN,19.2
2289467298,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Baker Mayfield (15607549) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Chase Claypool (15607853) (LOCKED),Jarvis Landry (15607865) (LOCKED),Austin Hooper (15608135) (LOCKED),Aaron Jones (15607595),WAS Football Team (15608288) (LOCKED),,RB,Alexander Mattison (15607599) (LOCKED),Alexander Mattison,15607599,RB/FLEX,7200,In Progress,MIN,8.92
2289467299,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Joe Mixon (15607615) (LOCKED),A.J. Brown (15607845) (LOCKED),Keelan Cole (15607867) (LOCKED),Kenny Golladay (15607831) (LOCKED),Tyler Eifert (15608145) (LOCKED),Aaron Jones (15607595),Browns (15608296) (LOCKED),,RB,James Conner (15607601) (LOCKED),James Conner,15607601,RB/FLEX,7100,In Progress,PIT,17.5
2289467300,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),Mike Davis (15607603) (LOCKED),Todd Gurley II (15607613) (LOCKED),A.J. Brown (15607845) (LOCKED),Terry McLaurin (15607841) (LOCKED),Golden Tate (15607885) (LOCKED),Evan Engram (15608123) (LOCKED),Aaron Jones (15607595),Dolphins (15608293),,RB,Mike Davis (15607603) (LOCKED),Mike Davis,15607603,RB/FLEX,7000,In Progress,CAR,18.12
2289467301,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Justin Jefferson (15607835) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Kyle Rudolph (15608139) (LOCKED),James Conner (15607601) (LOCKED),Ravens (15608281) (LOCKED),,WR,Allen Robinson II (15607809) (LOCKED),Allen Robinson II,15607809,WR/FLEX,7000,In Progress,CHI,19
2289467302,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),Todd Gurley II (15607613) (LOCKED),A.J. Brown (15607845) (LOCKED),Brandin Cooks (15607859) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Jonnu Smith (15608115) (LOCKED),Aaron Jones (15607595),Falcons (15608301) (LOCKED),,QB,Deshaun Watson (15607536) (LOCKED),Deshaun Watson,15607536,QB,7000,In Progress,HOU,21.87
2289467303,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Philip Rivers (15607547) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Tee Higgins (15607879) (LOCKED),T.Y. Hilton (15607861) (LOCKED),Adam Thielen (15607807) (LOCKED),Trey Burton (15608155) (LOCKED),James Robinson (15607607) (LOCKED),Titans (15608294) (LOCKED),,RB,Kareem Hunt (15607605) (LOCKED),Kareem Hunt,15607605,RB/FLEX,6900,In Progress,CLE,17.6
2289467304,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Chris Godwin (15607821),Darnell Mooney (15608011) (LOCKED),Marquez Valdes-Scantling (15607883),Rob Gronkowski (15608127),James Robinson (15607607) (LOCKED),Colts (15608283) (LOCKED),,WR,Mike Evans (15607811),Mike Evans,15607811,WR/FLEX,6900,GB@TB 10/18/2020 04:25PM ET,TB,18.22
2289467305,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Danny Amendola (15607903) (LOCKED),Terry McLaurin (15607841) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Joe Mixon (15607615) (LOCKED),Dolphins (15608293),,RB,James Robinson (15607607) (LOCKED),James Robinson,15607607,RB/FLEX,6800,In Progress,JAX,18.12
2289467306,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Alexander Mattison (15607599) (LOCKED),Justin Jefferson (15607835) (LOCKED),Darnell Mooney (15608011) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Hayden Hurst (15608125) (LOCKED),Aaron Jones (15607595),Giants (15608289) (LOCKED),,WR,Will Fuller V (15607813) (LOCKED),Will Fuller V,15607813,WR/FLEX,6800,In Progress,HOU,15.84
