Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Alvin Kamara,NO,13.2,64.7,0.7,6.5,54.9,0.3,0.1,24.4
Kareem Hunt,CLE,17.5,81.5,0.7,3.2,27.7,0.2,0.1,19.8
Ezekiel Elliott,DAL,19.6,83.5,0.8,3.7,28.2,0.1,0.2,19.6
Mike Davis,CAR,16.2,66.4,0.7,4.6,33.6,0.2,0.1,19.4
Derrick Henry,TEN,20.4,93.9,0.9,1.9,15.9,0.0,0.1,18.6
Aaron Jones,GB,12.0,64.4,0.8,3.2,26.8,0.2,0.1,17.9
James Conner,PIT,15.8,69.5,0.7,3.0,22.1,0.1,0.1,16.9
Chris Carson,SEA,15.6,68.5,0.6,3.4,24.2,0.2,0.1,16.9
Clyde Edwards-Helaire,KC,14.8,66.6,0.5,3.0,26.4,0.1,0.1,16.1
Josh Jacobs,LV,19.0,74.0,0.7,2.5,19.2,0.1,0.1,15.9
James Robinson,JAC,15.2,63.9,0.5,3.1,25.4,0.1,0.1,15.7
David Johnson,HOU,15.7,63.1,0.6,2.7,24.9,0.1,0.1,15.6
Todd Gurley II,ATL,15.2,64.4,0.8,2.3,17.8,0.1,0.1,15.5
Ronald Jones II,TB,15.1,68.2,0.6,2.5,19.7,0.1,0.1,15.3
Jerick McKinnon,SF,12.7,57.4,0.4,3.3,26.7,0.1,0.1,14.8
Antonio Gibson,WAS,13.8,53.6,0.6,2.9,23.4,0.1,0.1,14.4
David Montgomery,CHI,16.0,60.9,0.5,2.7,21.2,0.1,0.1,14.3
Devin Singletary,BUF,12.9,59.6,0.4,2.7,21.6,0.1,0.1,13.6
Giovani Bernard,CIN,12.5,48.2,0.5,3.4,25.3,0.0,0.1,13.6
Kenyan Drake,ARI,14.3,65.0,0.6,1.7,12.8,0.1,0.1,13.5
Melvin Gordon III,DEN,14.0,58.1,0.5,2.7,18.8,0.1,0.1,13.4
D'Andre Swift,DET,9.1,37.9,0.3,3.5,31.2,0.2,0.1,13.1
Devonta Freeman,NYG,14.4,54.7,0.4,2.6,19.6,0.1,0.1,12.9
Justin Jackson,LAC,13.3,59.9,0.3,2.6,20.6,0.1,0.1,12.5
Boston Scott,PHI,11.5,47.0,0.3,3.1,25.1,0.0,0.1,12.3
Darrell Henderson,LAR,13.7,64.8,0.3,1.6,15.0,0.0,0.0,11.9
James White,NE,4.1,16.3,0.1,4.8,38.0,0.1,0.0,11.5
Adrian Peterson,DET,13.4,52.5,0.4,1.1,7.9,0.0,0.1,9.8
J.D. McKissic,WAS,5.1,22.3,0.1,3.7,28.7,0.1,0.1,9.7
Jamaal Williams,GB,8.7,33.0,0.1,3.0,21.9,0.1,0.0,9.7
Damien Harris,NE,12.0,51.1,0.4,1.1,6.8,0.0,0.1,9.2
Chase Edmonds,ARI,5.0,22.7,0.2,2.9,22.5,0.1,0.0,8.8
Joshua Kelley,LAC,11.3,46.4,0.3,1.4,10.3,0.0,0.1,8.8
Latavius Murray,NO,10.2,42.1,0.3,1.6,11.4,0.0,0.0,8.6
Phillip Lindsay,DEN,9.8,44.3,0.2,1.7,11.5,0.0,0.0,8.3
Frank Gore,NYJ,11.3,45.4,0.1,1.3,8.4,0.0,0.0,7.4
Le'Veon Bell,KC,7.1,25.4,0.1,2.1,14.8,0.0,0.1,6.9
Lamical Perine,NYJ,8.3,32.8,0.1,1.6,10.0,0.0,0.1,6.7
Rex Burkhead,NE,6.1,22.9,0.2,1.8,15.2,0.0,0.1,6.7
Duke Johnson Jr.,HOU,4.3,18.9,0.1,2.2,19.2,0.1,0.1,6.6
Zack Moss,BUF,7.8,30.3,0.1,1.3,8.5,0.0,0.1,6.1
Brian Hill,ATL,6.5,29.0,0.1,1.4,9.8,0.0,0.1,6.0
Cordarrelle Patterson,CHI,3.8,17.5,0.1,1.7,15.8,0.1,0.0,5.8
Corey Clement,PHI,7.8,27.0,0.1,1.4,9.9,0.0,0.0,5.8
JaMycal Hasty,SF,6.5,25.6,0.1,1.8,9.2,0.0,0.1,5.8
Leonard Fournette,TB,6.8,24.1,0.2,1.3,8.7,0.0,0.0,5.6
Jalen Richard,LV,2.1,8.8,0.1,2.5,18.1,0.0,0.1,5.6
Malcolm Brown,LAR,5.4,21.9,0.1,1.4,10.5,0.0,0.0,5.4
D'Ernest Johnson,CLE,6.7,28.2,0.1,1.0,6.3,0.0,0.1,5.1
Devine Ozigbo,JAC,3.0,12.6,0.1,1.4,11.1,0.1,0.0,5.0
Tony Pollard,DAL,5.0,21.7,0.1,1.4,8.5,0.0,0.1,5.0
Jeremy McNichols,TEN,4.7,18.0,0.1,1.2,8.3,0.0,0.0,4.6
Cam Akers,LAR,6.6,26.1,0.1,0.8,5.2,0.0,0.1,4.6
Jeff Wilson Jr.,SF,5.4,19.9,0.1,1.2,7.7,0.0,0.1,4.6
Ke'Shawn Vaughn,TB,3.5,12.3,0.0,1.6,10.9,0.1,0.1,4.4
Carlos Hyde,SEA,5.2,19.8,0.1,1.1,5.3,0.0,0.1,4.2
Kerryon Johnson,DET,3.6,15.2,0.1,1.1,7.3,0.0,0.0,3.8
Benny Snell Jr.,PIT,5.7,22.1,0.1,0.6,2.4,0.0,0.1,3.6
Samaje Perine,CIN,4.3,15.4,0.1,0.9,5.6,0.0,0.0,3.6
Trenton Cannon,CAR,2.8,9.5,0.1,1.2,8.7,0.0,0.0,3.6
Kyle Juszczyk,SF,0.8,2.7,0.0,1.4,14.0,0.0,0.0,3.4
Dion Lewis,NYG,2.5,8.3,0.0,1.4,9.9,0.0,0.0,3.4
Wayne Gallman,NYG,4.1,15.4,0.1,1.0,5.0,0.0,0.1,3.3
Peyton Barber,WAS,4.8,16.0,0.1,0.5,2.4,0.0,0.0,3.1
Ty Johnson,NYJ,3.0,13.3,0.0,1.0,5.0,0.0,0.0,3.1
LeSean McCoy,TB,2.5,6.7,0.0,1.2,7.7,0.0,0.0,3.1
Darrel Williams,KC,2.9,9.5,0.0,1.2,6.5,0.0,0.0,3.1
Ito Smith,ATL,2.5,9.5,0.1,1.0,6.1,0.0,0.0,3.1
Anthony McFarland Jr.,PIT,3.0,11.7,0.1,0.9,6.0,0.0,0.0,3.0
Devontae Booker,LV,3.8,14.2,0.0,0.8,5.4,0.0,0.0,3.0
Jason Huntley,PHI,2.4,8.5,0.0,1.0,5.7,0.0,0.0,2.8
AJ Dillon,GB,3.7,15.4,0.1,0.4,2.2,0.0,0.0,2.6
Trayveon Williams,CIN,3.3,11.1,0.1,0.5,4.1,0.0,0.0,2.4
Travis Homer,SEA,2.0,9.7,0.0,0.8,3.8,0.0,0.0,2.4
Royce Freeman,DEN,2.6,9.0,0.0,0.9,4.6,0.0,0.0,2.4
Alec Ingold,LV,0.5,1.2,0.0,1.1,7.7,0.1,0.0,2.3
Dontrell Hilliard,CLE,2.8,9.7,0.1,0.6,3.4,0.0,0.0,2.3
T.J. Yeldon,BUF,1.9,7.7,0.0,0.9,5.5,0.0,0.0,2.3
Jaylen Samuels,PIT,2.6,5.2,0.0,1.0,5.7,0.0,0.0,2.2
C.J. Prosise,HOU,2.6,5.0,0.0,1.0,5.0,0.0,0.0,2.1
Jakob Johnson,NE,2.6,7.8,0.0,1.0,3.3,0.0,0.0,2.0
DeAndre Washington,KC,3.0,6.6,0.0,1.0,3.6,0.0,0.0,1.9
J.J. Taylor,NE,2.6,10.9,0.1,0.1,0.7,0.0,0.0,1.9
Darwin Thompson,KC,2.5,7.5,0.0,0.8,1.5,0.0,0.0,1.7
Eno Benjamin,ARI,1.8,7.1,0.1,0.5,2.3,0.0,0.0,1.7
Dare Ogunbowale,JAC,0.7,1.0,0.0,1.0,6.1,0.0,0.0,1.7
DeeJay Dallas,SEA,1.8,6.5,0.0,0.6,2.8,0.0,0.0,1.7
Qadree Ollison,ATL,1.7,5.9,0.1,0.2,1.1,0.0,0.0,1.7
Josh Adams,NYJ,2.6,7.7,0.1,0.6,0.7,0.0,0.0,1.7
Ryan Nall,CHI,2.6,6.1,0.0,0.7,2.8,0.0,0.0,1.6
Reggie Gilliam,BUF,1.1,2.6,0.0,0.6,4.0,0.0,0.0,1.5
Kalen Ballage,LAC,1.6,3.9,0.1,0.6,2.2,0.0,0.0,1.5
Ryquell Armstead,JAC,1.2,2.5,0.0,1.1,1.9,0.0,0.0,1.5
Alex Armah,CAR,0.9,4.4,0.0,0.5,2.4,0.0,0.0,1.4
Rico Dowdle,DAL,0.0,4.9,0.0,0.3,2.0,0.0,0.0,1.3
Andy Janovich,CLE,0.9,2.5,0.0,0.7,3.2,0.0,0.0,1.3
Bo Scarbrough,DET,1.9,6.7,0.1,0.0,0.1,0.0,0.0,1.3
Artavis Pierce,CHI,0.0,2.0,0.0,0.5,2.7,0.0,0.0,1.2
Keith Smith,ATL,0.9,2.5,0.0,0.6,2.4,0.0,0.0,1.2
Xavier Jones,LAR,0.0,2.1,0.0,0.3,3.0,0.0,0.0,1.1
Anthony Sherman,KC,0.9,1.3,0.0,0.4,1.9,0.0,0.0,0.9
Michael Burton,NO,1.2,3.0,0.0,0.4,1.1,0.0,0.0,0.8
Taiwan Jones,BUF,0.4,1.9,0.0,0.3,2.8,0.0,0.0,0.8
Cullen Gillaspia,HOU,0.4,1.0,0.0,0.4,2.6,0.0,0.0,0.8
