Player Name,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce,KC,6.1,76.1,0.6,0.0,17.3
Darren Waller,LV,6.1,66.8,0.5,0.1,15.4
George Kittle,SF,5.6,72.4,0.3,0.0,14.7
Hunter Henry,LAC,4.6,55.9,0.5,0.0,13.0
T.J. Hockenson,DET,3.8,42.2,0.6,0.0,11.4
Jared Cook,NO,4.1,52.7,0.3,0.0,11.1
Evan Engram,NYG,4.4,47.3,0.3,0.0,11.1
Jonnu Smith,TEN,3.3,41.7,0.4,0.0,10.1
Rob Gronkowski,TB,3.7,49.1,0.2,0.0,9.9
Eric Ebron,PIT,4.0,44.1,0.2,0.0,9.6
Robert Tonyan,GB,3.2,37.6,0.4,0.0,9.6
Noah Fant,DEN,3.7,45.4,0.2,0.0,9.3
Jimmy Graham,CHI,3.9,40.3,0.2,0.0,9.0
Hayden Hurst,ATL,3.4,39.5,0.2,0.0,8.7
Darren Fells,HOU,3.3,37.1,0.3,0.0,8.6
Tyler Higbee,LAR,3.3,38.2,0.2,0.0,8.2
Richard Rodgers,PHI,3.4,34.9,0.2,0.0,7.9
Dalton Schultz,DAL,3.3,36.6,0.1,0.1,7.7
Logan Thomas,WAS,3.2,31.8,0.2,0.0,7.6
Greg Olsen,SEA,2.9,31.9,0.2,0.0,7.1
David Njoku,CLE,2.7,31.1,0.2,0.0,7.1
James O'Shaughnessy,JAC,2.4,22.7,0.1,0.0,5.4
Anthony Firkser,TEN,2.0,24.8,0.1,0.0,5.2
Drew Sample,CIN,2.3,22.1,0.1,0.0,5.2
Taysom Hill,NO,2.0,20.0,0.2,0.0,5.1
Gerald Everett,LAR,2.1,23.6,0.1,0.0,5.0
Chris Herndon IV,NYJ,2.2,21.6,0.1,0.0,4.8
Harrison Bryant,CLE,1.9,21.1,0.1,0.0,4.7
Ian Thomas,CAR,2.1,19.3,0.1,0.0,4.7
Tyler Kroft,BUF,1.8,17.9,0.1,0.0,4.4
Tyler Eifert,JAC,2.0,22.1,0.0,0.0,4.4
Dan Arnold,ARI,1.7,20.1,0.1,0.0,4.2
Cameron Brate,TB,1.6,16.7,0.1,0.0,4.1
Kaden Smith,NYG,1.8,16.4,0.1,0.0,4.1
Ryan Izzo,NE,1.5,18.2,0.1,0.0,3.9
Will Dissly,SEA,1.5,16.0,0.1,0.0,3.8
Tanner Hudson,TB,1.6,18.2,0.1,0.0,3.7
Vance McDonald,PIT,1.6,16.2,0.1,0.0,3.6
Jesse James,DET,1.4,15.8,0.1,0.0,3.6
Ryan Griffin,NYJ,1.5,14.5,0.1,0.0,3.5
Virgil Green,LAC,1.3,15.0,0.1,0.1,3.3
Albert Okwuegbunam,DEN,1.3,14.0,0.1,0.0,3.2
Jordan Akins,HOU,1.3,15.3,0.1,0.0,3.1
Cole Kmet,CHI,1.3,13.4,0.1,0.0,3.1
Jason Witten,LV,1.3,11.8,0.1,0.0,3.0
Foster Moreau,LV,1.3,13.5,0.1,0.0,2.9
Marcedes Lewis,GB,1.0,11.3,0.1,0.0,2.9
Demetrius Harris,CHI,1.3,11.5,0.1,0.0,2.8
Hakeem Butler,PHI,1.1,11.5,0.1,0.0,2.7
MyCole Pruitt,TEN,1.1,10.6,0.1,0.0,2.7
Josh Hill,NO,1.2,10.4,0.1,0.0,2.6
Levine Toilolo,NYG,1.0,12.9,0.1,0.0,2.6
Darrell Daniels,ARI,1.1,12.0,0.0,0.0,2.6
Jason Croom,PHI,1.1,12.1,0.1,0.0,2.5
Pharaoh Brown,HOU,1.1,11.0,0.1,0.0,2.5
Jace Sternberger,GB,1.0,10.9,0.1,0.0,2.5
Lee Smith,BUF,0.9,8.1,0.1,0.0,2.5
Geoff Swaim,TEN,1.2,10.7,0.0,0.0,2.4
Chris Manhertz,CAR,0.9,10.4,0.1,0.0,2.4
Maxx Williams,ARI,0.8,9.5,0.1,0.0,2.4
Adam Trautman,NO,1.0,9.7,0.1,0.0,2.2
Luke Stocker,ATL,1.0,8.8,0.1,0.0,2.2
Ross Dwelley,SF,1.2,9.2,0.0,0.0,2.1
Jacob Hollister,SEA,0.9,8.1,0.1,0.0,2.1
Kahale Warring,HOU,0.7,7.8,0.1,0.0,2.1
Donald Parham Jr.,LAC,0.8,9.0,0.1,0.0,2.1
Zach Gentry,PIT,0.8,6.7,0.1,0.0,2.1
Blake Bell,DAL,0.9,9.7,0.0,0.0,2.1
Antony Auclair,TB,0.7,7.0,0.1,0.0,2.0
Devin Asiasi,NE,0.8,8.7,0.1,0.0,2.0
Evan Baylis,ARI,0.7,6.8,0.1,0.0,2.0
Nick Keizer,KC,0.9,10.4,0.0,0.0,2.0
Jordan Thomas,ARI,0.7,6.8,0.1,0.0,2.0
Jaeden Graham,ATL,0.7,9.1,0.1,0.0,1.9
Ben Ellefson,JAC,0.8,7.9,0.1,0.0,1.9
Brycen Hopkins,LAR,0.6,6.8,0.1,0.0,1.9
Nick Vannett,DEN,1.0,8.5,0.0,0.0,1.9
Gabe Nabers,LAC,0.9,9.8,0.0,0.0,1.9
Daniel Helm,SF,0.6,6.5,0.1,0.0,1.9
Ricky Seals-Jones,KC,0.7,8.5,0.1,0.0,1.8
Cethan Carter,CIN,0.8,8.3,0.0,0.0,1.8
Temarrick Hemingway,WAS,0.7,7.8,0.1,0.0,1.8
Jeremy Sprinkle,WAS,0.7,6.7,0.1,0.0,1.7
Stephen Carlson,CLE,0.6,6.4,0.1,0.0,1.6
Jake Butt,DEN,0.8,8.2,0.0,0.0,1.6
Trevon Wesco,NYJ,0.8,8.0,0.0,0.0,1.6
Charlie Woerner,SF,0.6,6.5,0.1,0.0,1.6
Derek Carrier,LV,0.6,5.0,0.1,0.0,1.4
Mason Schreck,CIN,0.6,7.0,0.0,0.0,1.3
Garrett Griffin,NO,0.6,6.5,0.0,0.0,1.2
Johnny Mundt,LAR,0.5,6.0,0.0,0.0,1.1
Luke Willson,SEA,0.4,4.0,0.1,0.0,1.1
J.P. Holtz,CHI,0.5,5.5,0.0,0.0,1.1
Sean McKeon,DAL,0.5,5.4,0.0,0.0,1.0
Marcus Baugh,WAS,0.5,5.2,0.0,0.0,1.0
Deon Yelder,KC,0.5,4.7,0.0,0.0,0.9
Jakob Johnson,NE,0.2,0.7,0.1,0.0,0.9
Andrew Beck,DEN,0.3,2.8,0.1,0.0,0.8
