"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"1","Alvin Kamara",NO,"vs. CAR"," 7.8","A+","24.7","+0.5","38% (5/13)","28%","Great"
"2","Kareem Hunt",CLE,"at CIN"," 7.6","A+","20.2","+1.7","78% (11/14)","25%","Great"
"3","Ezekiel Elliott",DAL,"at WAS"," 6.0","A+","20.0","+0.1","50% (8/16)","30%","Good"
"4","Mike Davis",CAR,"at NO"," 4.2","A","19.7","+1.5","38% (5/13)","24%","Average"
"5","Derrick Henry",TEN,"vs. PIT"," 5.8","A","19.1","+5.2","71% (10/14)","30%","Good"
"6","James Conner",PIT,"at TEN"," 4.4","A","17.4","-1.6","55% (5/9)","26%","Good"
"7","Chris Carson",SEA,"at ARI"," 6.8","A","16.8","+0.8","53% (7/13)","24%","Great"
"8","Clyde Edwards-Helaire",KC,"at DEN"," 4.0","A","16.8","-1.4","50% (3/6)","23%","Poor"
"9","Todd Gurley II",ATL,"vs. DET"," 9.2","A-","16.6","-0.4","50% (8/16)","17%","Great"
"10","Ronald Jones II",TB,"at LV"," 6.8","A-","16.5","+1.3","56% (9/16)","15%","Good"
"11","James Robinson",JAC,"at LAC"," 5.4","A-","15.7","+1.9","50% (3/6)","12%","Great"
"12","David Johnson",HOU,"vs. GB"," 7.6","B+","15.7","-3.6","21% (3/14)","26%","Average"
"13","Josh Jacobs",LV,"vs. TB"," 3.4","B+","15.7","-0.9","38% (5/13)","20%","Great"
"14","David Montgomery",CHI,"at LAR"," 8.2","B","15.3","-0.3","35% (6/17)","16%","Average"
"15","Antonio Gibson",WAS,"vs. DAL"," 7.2","B","15.2","+0.4","50% (3/6)","15%","Great"
"16","Kenyan Drake",ARI,"vs. SEA"," 4.0","B","15.1","+3.0","33% (5/15)","19%","Great"
"17","D'Andre Swift",DET,"at ATL"," 7.0","B","14.5","+5.6","80% (4/5)","15%","Great"
"18","Jamaal Williams",GB,"at HOU"," 7.4","B+","14.5","+0.6","50% (7/14)","10%","Awful"
"19","Giovani Bernard",CIN,"vs. CLE"," 4.4","B","13.8","-0.7","56% (9/16)","7%","Average"
"20","Devin Singletary",BUF,"at NYJ"," 6.4","B","13.7","-1.3","43% (7/16)","9%","Poor"
"21","Boston Scott",PHI,"vs. NYG"," 8.0","B","13.1","+1.7","31% (5/16)","8%","Average"
"22","Darrell Henderson",LAR,"vs. CHI"," 7.0","B","13.0","+0.9","40% (6/15)","29%","Good"
"23","James White",NE,"vs. SF"," 7.0","B-","13.0","+0.9","46% (6/13)","5%","Awful"
"24","Justin Jackson",LAC,"vs. JAC"," 4.6","B-","12.0","0.0","62% (5/8)","1%","Awful"
"25","Jerick McKinnon",SF,"at NE"," 7.0","B-","11.6","+1.4","66% (4/6)","10%","Great"
"26","Devonta Freeman",NYG,"at PHI"," 5.0","C+","11.6","-1.1","33% (4/12)","10%","Average"
"27","Melvin Gordon III",DEN,"vs. KC"," 8.2","C+","11.1","+1.3","57% (8/14)","18%","Great"
