Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2305175804,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Kenny Golladay (15642468) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),Calvin Ridley (15642456) (LOCKED),Harrison Bryant (15642888) (LOCKED),Jamaal Williams (15642378) (LOCKED),Broncos (15642949),,1. Column A lists all of your contest entries for this draftgroup
2305184641,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Todd Gurley II (15642270) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Chase Claypool (15642488) (LOCKED),Terry McLaurin (15642486) (LOCKED),Jonnu Smith (15642760) (LOCKED),Jamaal Williams (15642378) (LOCKED),49ers (15642945),,2. Your current lineup is listed next to each entry (blank for reservations)
2305185132,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Corey Davis (15642516) (LOCKED),Mike Williams (15642520),Eric Ebron (15642774) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2305185234,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Kenny Golladay (15642468) (LOCKED),Julio Jones (15642460) (LOCKED),Terry McLaurin (15642486) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Kenyan Drake (15642298),Jaguars (15642954),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2305185235,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Danny Amendola (15642578) (LOCKED),Kenny Golladay (15642468) (LOCKED),Mike Williams (15642520),Hayden Hurst (15642766) (LOCKED),Jamaal Williams (15642378) (LOCKED),Bills (15642940) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2305185236,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Chris Godwin (15667801),Terry McLaurin (15642486) (LOCKED),Henry Ruggs III (15667805),Rob Gronkowski (15667835),Jamaal Williams (15642378) (LOCKED),Cardinals (15642958),,
2305185237,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Danny Amendola (15642578) (LOCKED),Diontae Johnson (15642546) (LOCKED),Julio Jones (15642460) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Jamaal Williams (15642378) (LOCKED),Patriots (15642942),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2305185238,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Mike Davis (15642256) (LOCKED),Jamaal Williams (15642378) (LOCKED),Braxton Berrios (15642586) (LOCKED),Kenny Golladay (15642468) (LOCKED),Calvin Ridley (15642456) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Chris Carson (15642260),Chiefs (15642941),,RB,Christian McCaffrey (15642242) (LOCKED),Christian McCaffrey,15642242,RB/FLEX,8300,In Progress,CAR,26.65
2305185239,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Todd Gurley II (15642270) (LOCKED),Alvin Kamara (15642244) (LOCKED),Mike Evans (15667803),Chris Godwin (15667801),Diontae Johnson (15642546) (LOCKED),Darren Waller (15667833),Jamaal Williams (15642378) (LOCKED),WAS Football Team (15642951) (LOCKED),,WR,DeAndre Hopkins (15642450),DeAndre Hopkins,15642450,WR/FLEX,8200,SEA@ARI 10/25/2020 08:20PM ET,ARI,21.35
2305185240,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Andy Dalton (15642194) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Amari Cooper (15642464) (LOCKED),Michael Gallup (15642530) (LOCKED),Terry McLaurin (15642486) (LOCKED),Harrison Bryant (15642888) (LOCKED),Jamaal Williams (15642378) (LOCKED),Bills (15642940) (LOCKED),,QB,Russell Wilson (15642181),Russell Wilson,15642181,QB,8000,SEA@ARI 10/25/2020 08:20PM ET,SEA,31.88
2305185241,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Alvin Kamara (15642244) (LOCKED),Jamaal Williams (15642378) (LOCKED),Kenny Golladay (15642468) (LOCKED),Diontae Johnson (15642546) (LOCKED),Calvin Ridley (15642456) (LOCKED),Hayden Hurst (15642766) (LOCKED),James Robinson (15642264),Jaguars (15642954),,RB,Alvin Kamara (15642244) (LOCKED),Alvin Kamara,15642244,RB/FLEX,7900,In Progress,NO,30.12
2305185242,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Baker Mayfield (15642197) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Odell Beckham Jr. (15642480) (LOCKED),Tee Higgins (15642498) (LOCKED),Jarvis Landry (15642524) (LOCKED),Travis Kelce (15642754),Jamaal Williams (15642378) (LOCKED),Seahawks (15642953),,WR,Davante Adams (15642452) (LOCKED),Davante Adams,15642452,WR/FLEX,7900,In Progress,GB,21.1
2305185243,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Kenny Golladay (15642468) (LOCKED),Julio Jones (15642460) (LOCKED),Calvin Ridley (15642456) (LOCKED),Harrison Bryant (15642888) (LOCKED),Justin Jackson (15642296),49ers (15642945),,RB,Ezekiel Elliott (15642246) (LOCKED),Ezekiel Elliott,15642246,RB/FLEX,7800,In Progress,DAL,21.28
2305185244,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),Nelson Agholor (15667809),Mike Evans (15667803),Kenny Golladay (15642468) (LOCKED),Rob Gronkowski (15667835),Jamaal Williams (15642378) (LOCKED),Chargers (15642944),,QB,Josh Allen (15642182) (LOCKED),Josh Allen,15642182,QB,7700,In Progress,BUF,27.79
2305185245,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Derek Carr (15667778),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Mike Evans (15667803),Terry McLaurin (15642486) (LOCKED),Hunter Renfrow (15667807),Darren Waller (15667833),Jamaal Williams (15642378) (LOCKED),Bengals (15642952) (LOCKED),,WR,Michael Thomas (15642454) (LOCKED),Michael Thomas,15642454,WR/FLEX,7600,In Progress,NO,4.7
2305185246,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Baker Mayfield (15642197) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Odell Beckham Jr. (15642480) (LOCKED),A.J. Green (15642542) (LOCKED),Julio Jones (15642460) (LOCKED),Harrison Bryant (15642888) (LOCKED),Jamaal Williams (15642378) (LOCKED),Bills (15642940) (LOCKED),,RB,Derrick Henry (15642248) (LOCKED),Derrick Henry,15642248,RB/FLEX,7500,In Progress,TEN,24.04
2305185247,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Jimmy Garoppolo (15642199),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Brandon Aiyuk (15642554),Julian Edelman (15642510),Terry McLaurin (15642486) (LOCKED),George Kittle (15642752),Jamaal Williams (15642378) (LOCKED),Buccaneers (15667853),,QB,Patrick Mahomes (15642183),Patrick Mahomes,15642183,QB,7400,KC@DEN 10/25/2020 04:25PM ET,KC,28.08
