"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"1","Travis Kelce",KC,"vs. NYJ"," 6.0","A+","18.3","+0.3","56% (9/16)","7%","Great"
"2","George Kittle",SF,"at SEA"," 7.4","A","17.4","+1.9","53% (7/13)","6%","Great"
"3","Darren Waller",LV,"at CLE"," 5.6","A","16.5","-1.9","31% (5/16)","19%","Good"
"4","Mark Andrews",BAL,"vs. PIT"," 3.2","A-","13.6","+0.1","57% (8/14)","23%","Great"
"5","Jonnu Smith",TEN,"at CIN"," 6.2","B+","13.2","+1.0","46% (7/15)","14%","Great"
"6","Rob Gronkowski",TB,"at NYG"," 6.2","B","12.5","+0.5","42% (3/7)","12%","Average"
"7","Hunter Henry",LAC,"at DEN"," 3.8","B","11.8","-2.5","33% (5/15)","11%","Poor"
"8","T.J. Hockenson",DET,"vs. IND"," 6.0","B-","11.1","0.0","54% (6/11)","18%","Great"
"9","Dallas Goedert",PHI,"vs. DAL","-","C","10.4","+0.9","50% (6/12)","6%","Good"
"10","Jared Cook",NO,"at CHI"," 7.8","C+","10.1","+2.3","61% (8/13)","8%","Great"
"11","Noah Fant",DEN,"vs. LAC"," 6.4","C+","10.0","+0.6","42% (6/14)","9%","Great"
"12","Robert Tonyan",GB,"vs. MIN"," 5.8","C","9.5","+2.1","35% (5/14)","7%","Great"
"13","Hayden Hurst",ATL,"at CAR"," 4.0","C","9.3","-0.1","31% (5/16)","7%","Great"
"14","Jimmy Graham",CHI,"vs. NO"," 7.8","C","9.2","+0.4","37% (6/16)","19%","Great"
"15","Mike Gesicki",MIA,"vs. LAR"," 6.4","C-","9.1","+0.7","37% (6/16)","13%","Average"
"16","Evan Engram",NYG,"vs. TB"," 5.6","D+","8.9","-2.2","33% (3/9)","9%","Good"
"17","Trey Burton",IND,"at DET"," 5.4","C-","8.8","+2.2","60% (3/5)","8%","Great"
"18","Harrison Bryant",CLE,"vs. LV"," 7.0","D","8.5","+2.2","42% (3/7)","6%","Great"
"19","Eric Ebron",PIT,"at BAL"," 6.0","D","8.4","-1.5","40% (4/10)","12%","Poor"
"20","Dalton Schultz",DAL,"at PHI"," 8.2","D-","7.9","+0.7","26% (4/15)","6%","Great"
"21","Irv Smith Jr.",MIN,"at GB"," 5.8","F","6.8","-0.3","40% (6/15)","9%","Awful"
"22","Drew Sample",CIN,"vs. TEN"," 7.6","F","6.7","-0.1","44% (4/9)","7%","Awful"
"23","Richard Rodgers",PHI,"vs. DAL"," 6.4","D-","6.3","+1.3","57% (4/7)","2%","Awful"
"24","Gerald Everett",LAR,"at MIA"," 3.8","F","6.3","+0.3","46% (6/13)","4%","Great"
"25","Tyler Higbee",LAR,"at MIA"," 3.2","F","5.8","+2.2","60% (9/15)","9%","Great"
"26","Greg Olsen",SEA,"vs. SF"," 6.4","F","5.6","-1.0","28% (4/14)","9%","Average"
"27","David Njoku",CLE,"vs. LV"," 6.8","F","5.4","+0.5","33% (2/6)","9%","Great"
"28","Albert Okwuegbunam",DEN,"vs. LAC"," 7.6","F","5.4","+1.9","40% (2/5)","12%","Awful"
"29","Ian Thomas",CAR,"vs. ATL"," 8.6","F","5.2","-0.7","23% (4/17)","4%","Great"
"30","Tyler Kroft",BUF,"vs. NE"," 3.8","F","5.0","+0.1","29% (5/17)","7%","Great"
"31","Will Dissly",SEA,"vs. SF"," 5.6","F","4.8","+0.6","50% (3/6)","6%","Good"
"32","Chris Herndon IV",NYJ,"at KC"," 7.0","F","4.8","-4.5","0% (0/8)","2%","Awful"
"33","Jack Doyle",IND,"at DET"," 6.0","F","4.7","-2.0","33% (5/15)","4%","Great"
"34","Anthony Firkser",TEN,"at CIN"," 6.4","F","4.6","+0.8","42% (6/14)","5%","Great"
"35","Cameron Brate",TB,"at NYG"," 4.4","F","4.5","-0.4","35% (6/17)","3%","Great"
"36","Kyle Rudolph",MIN,"at GB"," 6.2","F","4.4","+0.9","46% (7/15)","5%","Great"
"37","Cole Kmet",CHI,"vs. NO"," 6.6","F","4.4","+0.4","28% (2/7)","2%","Great"
"38","Vance McDonald",PIT,"at BAL"," 5.2","F","4.2","-1.5","13% (2/15)","1%","Awful"
"39","Mo Alie-Cox",IND,"at DET"," 5.6","F","3.8","+0.2","42% (6/14)","12%","Good"
"40","Jace Sternberger",GB,"vs. MIN"," 5.6","F","3.8","-0.6","14% (2/14)","3%","Great"
"41","Nick Boyle",BAL,"vs. PIT"," 2.0","F","3.8","+1.0","40% (6/15)","6%","Great"
"42","Adam Shaheen",MIA,"vs. LAR"," 6.2","F","3.5","+0.8","37% (3/8)","12%","Good"
"43","Donald Parham Jr.",LAC,"at DEN"," 4.4","F","3.4","+1.8","33% (2/6)","13%","Good"
"44","Ryan Izzo",NE,"at BUF"," 6.4","F","3.4","-1.6","20% (2/10)","3%","Awful"
"45","Jason Witten",LV,"at CLE"," 5.8","F","3.4","+0.2","33% (5/15)","7%","Good"
"46","Foster Moreau",LV,"at CLE"," 5.8","F","3.2","+0.4","38% (5/13)","9%","Average"
"47","Ryan Griffin",NYJ,"at KC"," 6.8","F","3.1","+1.4","46% (6/13)","1%","Awful"
"48","Nick Vannett",DEN,"vs. LAC"," 6.4","F","3.1","-0.5","33% (5/15)","4%","Awful"
"49","Jesse James",DET,"vs. IND"," 5.8","F","3.1","-0.9","18% (3/16)","10%","Poor"
"50","Kaden Smith",NYG,"vs. TB"," 7.2","F","3.0","+1.5","42% (6/14)","6%","Awful"
"51","Demetrius Harris",CHI,"vs. NO"," 6.6","F","3.0","+0.3","40% (6/15)","2%","Awful"
"52","Adam Trautman",NO,"at CHI"," 7.0","F","2.9","-1.2","33% (2/6)","2%","Awful"
"53","Nick Keizer",KC,"vs. NYJ"," 6.4","F","2.7","-0.5","16% (1/6)","0%","Awful"
"54","Chris Manhertz",CAR,"vs. ATL"," 8.6","F","2.7","-0.4","25% (4/16)","0%","N/A"
"55","Josh Hill",NO,"at CHI"," 7.0","F","2.6","-0.4","20% (3/15)","1%","Awful"
"56","Jacob Hollister",SEA,"vs. SF"," 5.8","F","2.4","+1.4","40% (6/15)","6%","Good"
