"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"1","Davante Adams",GB,"vs. MIN"," 6.4","A+","23.6","+0.8","58% (7/12)","17%","Good"
"2","Tyreek Hill",KC,"vs. NYJ"," 7.0","A+","19.2","-1.8","43% (7/16)","11%","Great"
"3","D.K. Metcalf",SEA,"vs. SF"," 5.4","A+","18.7","+0.7","46% (7/15)","13%","Great"
"4","Julio Jones",ATL,"at CAR"," 4.8","A+","18.7","-0.8","38% (5/13)","16%","Average"
"5","A.J. Brown",TEN,"at CIN"," 8.2","A+","18.3","+4.0","69% (9/13)","11%","Great"
"6","Keenan Allen",LAC,"at DEN"," 5.0","A+","18.1","-0.2","53% (8/15)","16%","Average"
"7","Calvin Ridley",ATL,"at CAR"," 5.4","A+","18.0","+2.0","66% (8/12)","23%","Great"
"8","Tyler Lockett",SEA,"vs. SF"," 4.6","A","17.8","+0.1","33% (5/15)","20%","Great"
"9","Adam Thielen",MIN,"at GB"," 2.6","A","17.7","-2.0","30% (3/10)","20%","Great"
"10","Robby Anderson",CAR,"vs. ATL"," 7.2","A","17.6","+1.2","58% (10/17)","10%","Poor"
"11","D.J. Moore",CAR,"vs. ATL"," 7.8","A","17.6","+0.2","56% (9/16)","10%","Great"
"12","Stefon Diggs",BUF,"vs. NE"," 6.8","A","17.5","-2.4","25% (4/16)","10%","Good"
"13","Kenny Golladay",DET,"vs. IND"," 4.6","A","17.2","+0.8","57% (8/14)","10%","Good"
"14","Tyler Boyd",CIN,"vs. TEN"," 5.6","A","17.0","+0.4","43% (7/16)","13%","Average"
"15","Allen Robinson II",CHI,"vs. NO"," 9.4","A","16.5","-1.1","41% (7/17)","18%","Average"
"16","Justin Jefferson",MIN,"at GB"," 3.4","A","16.1","+5.8","50% (3/6)","10%","Great"
"17","Mike Evans",TB,"at NYG"," 6.2","A-","16.0","-0.3","46% (6/13)","11%","Great"
"18","Travis Fulgham",PHI,"vs. DAL"," 7.6","A-","15.4","+4.5","37% (3/8)","20%","Average"
"19","Cooper Kupp",LAR,"at MIA"," 5.0","A-","14.8","-1.9","43% (7/16)","7%","Great"
"20","Robert Woods",LAR,"at MIA"," 4.6","A-","14.7","+0.5","60% (9/15)","10%","Great"
"21","Brandon Aiyuk",SF,"at SEA"," 6.8","A-","14.5","+3.1","66% (4/6)","12%","Good"
"22","Tee Higgins",CIN,"vs. TEN"," 6.4","B+","14.5","+3.7","71% (5/7)","12%","Good"
