Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2321774427,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,1. Column A lists all of your contest entries for this draftgroup
2321783256,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,2. Your current lineup is listed next to each entry (blank for reservations)
2321783257,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2321783258,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2321783259,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,5. For faster processing only include entries you are changing in the file you upload
2321783260,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,
2321783261,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2321783262,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Davante Adams (15677315),Davante Adams,15677315,WR/FLEX,8800,MIN@GB 11/01/2020 01:00PM ET,GB,27.72
2321783263,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Alvin Kamara (15677097),Alvin Kamara,15677097,RB/FLEX,8200,NO@CHI 11/01/2020 04:25PM ET,NO,28.9
2321783264,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Patrick Mahomes (15677040),Patrick Mahomes,15677040,QB,8100,NYJ@KC 11/01/2020 01:00PM ET,KC,25.78
2321783265,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Derrick Henry (15677099),Derrick Henry,15677099,RB/FLEX,8000,TEN@CIN 11/01/2020 01:00PM ET,TEN,22.57
2321783266,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Russell Wilson (15677041),Russell Wilson,15677041,QB,7800,SF@SEA 11/01/2020 04:25PM ET,SEA,32.55
2321783267,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Aaron Rodgers (15677042),Aaron Rodgers,15677042,QB,7600,MIN@GB 11/01/2020 01:00PM ET,GB,23.86
2321783268,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Dalvin Cook (15677101),Dalvin Cook,15677101,RB/FLEX,7500,MIN@GB 11/01/2020 01:00PM ET,MIN,24.06
2321783269,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,DK Metcalf (15677317),DK Metcalf,15677317,WR/FLEX,7500,SF@SEA 11/01/2020 04:25PM ET,SEA,18.48
2321783270,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Lamar Jackson (15677043),Lamar Jackson,15677043,QB,7400,PIT@BAL 11/01/2020 01:00PM ET,BAL,22
2321783271,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Aaron Jones (15677103),Aaron Jones,15677103,RB/FLEX,7300,MIN@GB 11/01/2020 01:00PM ET,GB,23.6
