"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Pittsburgh Steelers",PIT,"at DAL"," 9.6","A+","9.1","+3.0","60% (9/15)"
"2","New England Patriots",NE,"at NYJ"," 6.3","A","8.3","0.0","28% (4/14)"
"3","Washington Football Team",WAS,"vs. NYG"," 7.0","A-","8.1","-0.5","35% (5/14)"
"4","Houston Texans",HOU,"at JAC"," 6.3","B+","8.1","-1.5","28% (4/14)"
"5","Kansas City Chiefs",KC,"vs. CAR"," 4.7","B+","6.7","+1.6","56% (9/16)"
"6","Baltimore Ravens",BAL,"at IND"," 6.1","B+","6.7","+4.1","60% (9/15)"
"7","Arizona Cardinals",ARI,"vs. MIA"," 6.7","B","6.5","-0.9","42% (6/14)"
"8","Green Bay Packers",GB,"at SF"," 7.0","B","6.5","-1.2","28% (4/14)"
"9","Tennessee Titans",TEN,"vs. CHI"," 6.5","B","6.4","-0.4","42% (6/14)"
"10","New York Giants",NYG,"at WAS"," 9.9","B-","6.4","-1.7","26% (4/15)"
"11","Tampa Bay Buccaneers",TB,"vs. NO"," 2.1","B-","6.4","+2.3","43% (7/16)"
"12","Chicago Bears",CHI,"at TEN"," 2.1","C+","6.3","-1.4","25% (4/16)"
"13","Indianapolis Colts",IND,"vs. BAL"," 7.4","C+","6.3","+2.9","60% (9/15)"
"14","Atlanta Falcons",ATL,"vs. DEN"," 9.2","C","6.2","-0.2","46% (7/15)"
"15","Los Angeles Chargers",LAC,"vs. LV"," 3.5","C","6.2","-1.9","21% (3/14)"
"16","Denver Broncos",DEN,"at ATL"," 3.1","C-","6.2","-0.2","35% (5/14)"
"17","Seattle Seahawks",SEA,"at BUF"," 2.1","C-","6.0","+0.4","57% (8/14)"
"18","Miami Dolphins",MIA,"at ARI"," 6.1","D+","6.0","0.0","33% (5/15)"
"19","Minnesota Vikings",MIN,"vs. DET"," 5.3","D+","5.9","-0.5","28% (4/14)"
"20","New Orleans Saints",NO,"at TB"," 8.2","D","5.8","-1.1","28% (4/14)"
"21","Buffalo Bills",BUF,"vs. SEA"," 4.7","D-","5.7","-0.7","43% (7/16)"
"22","Detroit Lions",DET,"at MIN"," 5.5","D","5.7","-4.0","6% (1/15)"
"23","New York Jets",NYJ,"vs. NE"," 9.9","D-","5.4","-0.3","43% (7/16)"
"24","San Francisco 49ers",SF,"vs. GB"," 2.1","F","5.4","-1.3","29% (5/17)"
"25","Las Vegas Raiders",LV,"at LAC"," 2.1","F","5.3","-2.2","26% (4/15)"
"26","Jacksonville Jaguars",JAC,"vs. HOU"," 2.9","F","5.1","-3.3","21% (3/14)"
"27","Dallas Cowboys",DAL,"vs. PIT"," 2.5","F","5.0","-3.1","25% (4/16)"
"28","Carolina Panthers",CAR,"at KC"," 2.7","F","4.7","-3.4","12% (2/16)"
