"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"1","Patrick Mahomes II",KC,"vs. CAR"," 3.8","A+","24.1","+1.1","46% (7/15)","3%","Great"
"2","Russell Wilson",SEA,"at BUF"," 6.6","A","23.6","+2.6","46% (7/15)","1%","Great"
"3","Deshaun Watson",HOU,"at JAC"," 8.2","A","23.1","+1.1","50% (7/14)","6%","Great"
"4","Kyler Murray",ARI,"vs. MIA"," 4.0","A","22.7","+5.2","73% (11/15)","13%","Great"
"5","Josh Allen",BUF,"vs. SEA"," 7.2","A-","22.0","+2.4","58% (10/17)","10%","Great"
"6","Justin Herbert",LAC,"vs. LV"," 7.0","B+","21.3","+10.7","83% (5/6)","4%","Great"
"7","Aaron Rodgers",GB,"at SF"," 6.0","B","20.7","-0.9","40% (6/15)","0%","Great"
"8","Lamar Jackson",BAL,"at IND"," 5.6","B","20.0","+2.3","60% (9/15)","7%","Great"
"9","Tom Brady",TB,"vs. NO"," 8.0","B","19.3","+0.6","37% (6/16)","3%","Great"
"10","Ben Roethlisberger",PIT,"at DAL"," 5.0","B-","19.0","+0.2","57% (4/7)","4%","Great"
"11","Matt Ryan",ATL,"vs. DEN"," 4.2","B-","18.7","-0.5","43% (7/16)","1%","Great"
"12","Cam Newton",NE,"at NYJ"," 4.6","C+","18.4","-0.4","66% (4/6)","24%","Good"
"13","Ryan Tannehill",TEN,"vs. CHI"," 2.4","C+","18.1","+6.0","73% (11/15)","1%","Great"
"14","Derek Carr",LV,"at LAC"," 5.4","C+","17.9","+1.7","62% (10/16)","4%","Great"
"15","Drew Brees",NO,"at TB"," 3.6","C","17.5","+2.8","66% (10/15)","4%","Great"
"16","Matthew Stafford",DET,"at MIN"," 7.0","C","17.2","+1.6","62% (5/8)","1%","Great"
"17","Teddy Bridgewater",CAR,"at KC"," 5.4","C-","16.7","+0.1","33% (5/15)","3%","Great"
"18","Drew Lock",DEN,"at ATL"," 8.8","C-","16.2","-1.1","36% (4/11)","5%","Poor"
"19","Kirk Cousins",MIN,"vs. DET"," 6.0","C-","15.8","+0.1","50% (7/14)","0%","Great"
"20","Daniel Jones",NYG,"at WAS"," 7.2","D+","15.3","+1.4","42% (6/14)","1%","Average"
"21","Nick Foles",CHI,"at TEN"," 6.4","D","14.9","+0.1","38% (5/13)","3%","Average"
"22","Tua Tagovailoa",MIA,"at ARI"," 9.2","D","14.5","-2.0","0% (0/6)","0%","Awful"
