"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Josh Allen","BUF","PIT","QB","7400","25.4","2.6","15.5","18522405","38.2"
"Patrick Mahomes","KC","CLE","QB","8100","26.0","1.0","10.0","18522403","36.6"
"Christian McCaffrey","CAR","NYJ","RB","9500","24.3","2.5","26.0","18522495","34.7"
"Kyler Murray","ARI","TEN","QB","7600","24.3","0.8","8.1","18522404","34.3"
"Russell Wilson","SEA","IND","QB","7000","23.3","1.7","4.8","18522406","33.0"
"Calvin Ridley","ATL","PHI","WR","7900","21.7","3.0","17.0","18522857","32.3"
"Jalen Hurts","PHI","ATL","QB","6400","22.3","2.5","10.0","18522411","31.8"
"Dalvin Cook","MIN","CIN","RB","9100","22.7","1.7","21.9","18522497","31.6"
"Ryan Tannehill","TEN","ARI","QB","6500","21.3","1.2","3.7","18522410","31.4"
"Tyreek Hill","KC","CLE","WR","8200","21.0","1.8","12.6","18522855","31.3"
"Alvin Kamara","NO","GB","RB","8600","22.7","2.7","26.8","18522501","30.7"
"Travis Kelce","KC","CLE","TE","8300","20.2","0.8","18.6","18523483","30.5"
"Trevor Lawrence","JAX","HOU","QB","6200","21.0","1.8","1.8","18522413","30.4"
"Davante Adams","GB","NO","WR","8300","21.2","1.7","17.0","18522853","30.0"
"Derrick Henry","TEN","ARI","RB","8800","21.4","1.0","13.0","18522499","29.8"
"Matt Ryan","ATL","PHI","QB","6000","21.2","2.6","5.0","18522415","29.6"
"A.J. Brown","TEN","ARI","WR","7100","18.8","1.7","13.0","18522867","29.4"
"Stefon Diggs","BUF","PIT","WR","7600","19.7","1.7","19.0","18522863","29.3"
"DeAndre Hopkins","ARI","TEN","WR","7800","19.6","1.1","12.9","18522859","29.0"
"Justin Jefferson","MIN","CIN","WR","7700","18.6","0.4","6.9","18522861","28.6"
"Aaron Rodgers","GB","NO","QB","6800","20.5","-0.5","2.8","18522408","28.5"
"Joe Burrow","CIN","MIN","QB","5700","19.2","1.6","6.0","18522417","28.1"
"Ryan Fitzpatrick","WAS","LAC","QB","5500","18.7","1.6","5.7","18522419","27.5"
"DK Metcalf","SEA","IND","WR","7500","18.3","0.5","8.0","18522865","27.3"
"Baker Mayfield","CLE","KC","QB","5900","18.5","0.2","0.7","18522416","27.1"
"Justin Herbert","LAC","WAS","QB","6700","19.6","-1.1","1.0","18522409","26.6"
"Sam Darnold","CAR","NYJ","QB","5000","18.2","2.6","4.8","18522428","26.5"
"Tyrod Taylor","HOU","JAX","QB","5300","17.1","0.7","1.1","18522424","26.5"
"Tyler Lockett","SEA","IND","WR","6700","17.2","0.9","6.6","18522875","25.9"
"George Kittle","SF","DET","TE","6300","16.1","0.6","19.0","18523485","25.2"
"Julio Jones","TEN","ARI","WR","6800","16.2","-0.3","6.0","18522873","25.2"
"Jameis Winston","NO","GB","QB","5200","14.9","-1.3","2.0","18522425","25.1"
"Terry McLaurin","WAS","LAC","WR","6400","17.2","1.6","12.8","18522879","25.1"
"Tua Tagovailoa","MIA","NE","QB","5400","17.1","0.3","0.5","18522422","24.5"
"Zach Wilson","NYJ","CAR","QB","5000","17.0","1.4","2.0","18522429","24.5"
"Aaron Jones","GB","NO","RB","6800","17.3","0.9","8.3","18522513","24.3"
"Kirk Cousins","MIN","CIN","QB","6300","18.4","-1.1","0.5","18522412","24.3"
"Joe Mixon","CIN","MIN","RB","6200","17.5","2.2","21.0","18522523","24.1"
"Carson Wentz","IND","SEA","QB","5600","16.0","-1.4","2.9","18522418","24.1"
"Antonio Gibson","WAS","LAC","RB","5900","16.2","1.5","17.0","18522527","23.8"
"DJ Moore","CAR","NYJ","WR","6100","15.8","0.7","5.5","18522885","23.4"
"Jonathan Taylor","IND","SEA","RB","8000","17.1","-1.8","2.0","18522503","23.3"
"Adam Thielen","MIN","CIN","WR","7000","15.8","-1.0","1.5","18522869","23.0"
"Najee Harris","PIT","BUF","RB","6300","17.4","1.9","12.8","18522521","23.0"
"Deebo Samuel","SF","DET","WR","5900","14.4","-0.3","1.9","18522889","22.5"
"Robby Anderson","CAR","NYJ","WR","5700","15.2","0.9","4.1","18522893","22.4"
"Mac Jones","NE","MIA","QB","4400","15.2","1.4","3.3","18522437","22.4"
"Teddy Bridgewater","DEN","NYG","QB","4800","17.3","2.3","3.8","18522432","22.3"
"Tyler Boyd","CIN","MIN","WR","5200","15.3","1.9","8.1","18522913","22.1"
"Daniel Jones","NYG","DEN","QB","5300","16.4","-0.1","0.9","18522423","22.1"
