player_id,player_name,sportsdata_id,player_team_id,player_position_id,player_positions,player_short_name,player_eligibility,player_yahoo_positions,player_page_url,player_filename,player_square_image_url,player_image_url,player_yahoo_id,cbs_player_id,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_opponent,player_opponent_id,player_ecr_delta,rank_ecr,rank_min,rank_max,rank_ave,rank_std,note,tag,recommendation,pos_rank,start_sit_grade,r2p_pts,uncertainty
16393,Christian McCaffrey,f96db0af-5e25-42d1-a07a-49b4e065b364,CAR,RB,RB,C. McCaffrey,RB,RB,https://www.fantasypros.com/nfl/players/christian-mccaffrey.php,christian-mccaffrey.php,https://images.fantasypros.com/images/players/nfl/16393/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16393/headshot/210x210.png,30121,2136743,13,99.9,99.8,100,at MIA,MIA,,1,1,2,1.04,0.19,"After limiting McCaffrey's snaps in Week 9 and 10 following his return from a hamstring injury, the Panthers gave CMC a 90% snap share in Week 11. It was hard to tell the difference based on touch counts alone. McCaffrey had 18 touches on 29 snaps in Week 9, 23 touches on 44 snaps in Week 10, and 17 touches on 46 snaps in Week 10. The workload is secure, and McCaffrey's soft tissue has been cooperating. He's averaged 18.4 fantasy points per game since making his return, and he's ranked RB1 this week against the Dolphins. CMC is a compelling DraftKings play at $9,000.",,,RB1,A+,22.2,0.0361
16483,Austin Ekeler,e5b8c439-a48a-4f83-b63b-1a4d30e04cd3,LAC,RB,RB,A. Ekeler,RB,RB,https://www.fantasypros.com/nfl/players/austin-ekeler.php,austin-ekeler.php,https://images.fantasypros.com/images/players/nfl/16483/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16483/headshot/210x210.png,30423,2820090,7,99.9,99.8,100,at DEN,DEN,,2,2,5,2.31,0.82,"Ekeler's quite vocal about his passion for fantasy football on social media and apparently he went up against Jonathan Taylor in a league last week. Ekeler came out on fire and put up a dominant 39 Half PPR fantasy points, which single-handedly brought several teams that were out of their matchups back into it. He's seeing a workload this season like he's never had before and he is absolutely thriving with the opportunity. He now ranks top-5 in the NFL through 11 weeks in overall Red Zone Rushing Attempts with 30 and that shows no signs of slowing down anytime soon with his conversion rate. The Broncos defense is only giving up 15.6 fantasy points per game on average to opposing RBs, but that shouldn't scare us away from Ekeler at all. He's a rock-solid play each and every week and he's a top-5 option again in Week 12.",,,RB2,A+,20.4,0.33619999999999994
19217,Jonathan Taylor,925195a4-06ba-4e37-ae7d-a3d6a5419139,IND,RB,RB,J. Taylor,RB,RB,https://www.fantasypros.com/nfl/players/jonathan-taylor.php,jonathan-taylor.php,https://images.fantasypros.com/images/players/nfl/19217/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19217/headshot/210x210.png,32711,2866395,14,99.9,99.8,100,vs. TB,TB,,3,1,4,2.92,0.47,"Taylor put fantasy teams on his back in Week 11, with 32-185-4 rushing and 3-19-1 receiving against the Bills. His 51.9 points in half-point PPR scoring were the most scored by any player in a game this season, including quarterbacks (the next-highest total: Derrick Henry's 44.7 points in Week 2). It was the eighth straight game in which Taylor had 100 or more scrimmage yards and a touchdown, tying a record previously shared by LaDainian Tomlinson and Lydell Mitchell. Colts head coach Frank Reich and his offensive staff have really ramped up Taylor's usage of late. The turning point? In Week 8, the Titans beat the Colts 34-31 in overtime. Carson Wentz threw 51 passes in that game. Taylor had only 16 carries but racked up 122 yards from scrimmage. Up to that point in the season, Taylor hadn't carried the ball more than 18 times in any game. In the three games since, he's averaging 24 carries and has had at least 19 carries in every outing. The Buccaneers have a strong run defense and won't be an easy matchup for Taylor, but JT is close to matchup-proof. He's the RB2 behind only Christin McCaffrey. The tricky matchup makes it hard to pay $9,100 for Taylor on DraftKings. With Taylor going berserk lately, Hines is barely clinging to fantasy relevant - and some would argue that he's already lost his grip on it. Hines is a midrange RB4 this week.",,,RB3,A+,20.2,0.22089999999999999
16374,Dalvin Cook,8960d61e-433b-41ea-a7ad-4e76be87b582,MIN,RB,RB,D. Cook,RB,RB,https://www.fantasypros.com/nfl/players/dalvin-cook.php,dalvin-cook.php,https://images.fantasypros.com/images/players/nfl/16374/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16374/headshot/210x210.png,30154,2130893,7,100.0,99.9,100,at SF,SF,,4,2,6,4.04,0.65,"There's no questioning that when Cook is healthy and active in the lineup, he receives one of the largest workloads in the league. Over his last five games, Cook has seen an average of 22 carries for 101.6 rushing yards with an average of 16.6 Half PPR points per contest. There are very few other RBs in the fantasy football landscape that we can feel as comfortable dropping into our starting lineup each week other than Cook and he deserves to be right back in rankings as a top-5 option this week against San Francisco.",,,RB4,A,19.1,0.21125000000000002
19210,D'Andre Swift,cc4b5f58-a11c-4450-a1df-617ad88336e4,DET,RB,RB,D. Swift,RB,RB,https://www.fantasypros.com/nfl/players/dandre-swift.php,dandre-swift.php,https://images.fantasypros.com/images/players/nfl/19210/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19210/headshot/210x210.png,32705,2871710,9,99.0,99.0,99,vs. CHI,CHI,,5,5,7,5.27,0.59,"Over the past two games, Swift has seen 53 total touches. Dan Campbell is choosing to lean on Swift as a true workhorse RB and he's responding with insane production. Swift has 266 rushing yards the past two weeks and he's helping carry fantasy rosters to a victory single-handedly. Against the Bears defense that just isn't the same without Khalil Mack in the lineup, there's very little reason to be scared off of Swift in your starting lineup for Week 12. He can be viewed as a mid-range/low-end RB1 yet again.",,,RB5,A,19.1,0.06961999999999999
19302,Najee Harris,48ec58c3-ec26-4434-b005-8d34035e6667,PIT,RB,RB,N. Harris,RB,RB,https://www.fantasypros.com/nfl/players/najee-harris-rb.php,najee-harris-rb.php,https://images.fantasypros.com/images/players/nfl/19302/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19302/headshot/210x210.png,33412,2741200,7,99.9,99.8,100,at CIN,CIN,,6,3,10,5.88,1.34,"Harris saw less than half of the number of carries in Week 11 as he did in Week 10, but it didn't make much of a difference for fantasy. Harris still was heavily involved in the receiving game as he saw six targets and reeled in five of them for 20 yards. While he didn't put up tremendous stats on the ground as many expected against the porous Chargers defense, Harris is essentially bust-proof at this point with the Steelers' commitment to getting him touches. He has now played in 10 games this season and he has finished outside the top-12 RBs just twice. He's in the running for fantasy MVP at this point and there seems to be no reason to doubt that this type of production can continue. Looking ahead to Week 12, the Bengals have been allowing one of the fewest marks in the league in terms of rushing yards per game with 76.3, but they've been gashed by the RB position as receivers out of the backfield. Cincinnati is allowing 7.6 receptions per game on average to the position and 58.3 receiving yards. Even if Harris can't succeed on the ground in a tougher matchup, we should have zero concerns about his ability to get the job done as a receiver. Fire him up as a mid-range RB1 yet again.",,,RB6,A,18.2,0.5985333333333335
16420,Joe Mixon,7797f36e-87e8-4282-b6d2-bdb1774fc3b3,CIN,RB,RB,J. Mixon,RB,RB,https://www.fantasypros.com/nfl/players/joe-mixon.php,joe-mixon.php,https://images.fantasypros.com/images/players/nfl/16420/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16420/headshot/210x210.png,30161,2131143,10,99.7,99.4,100,vs. PIT,PIT,,7,6,9,7.46,0.75,"After being one of the most divisive players in draft season this year, Mixon has rewarded fantasy managers that took the chance on him at the discounted price. Through 11 weeks, Mixon is now the RB4 in all of fantasy football with 172.3 points and averaging 17.2 per game. He's now up to nine rushing touchdowns on the season and he remains one of the league's last true workhorse RBs. The Steelers defense has softened here in recent weeks and they're coming off a game in which Austin Ekeler was able to total four touchdowns on them, which bodes well for Mixon's outlook here. He can be viewed as a mid-range RB1.",,,RB7,A,17.8,0.09375
15498,Ezekiel Elliott,bef8b2b4-78bd-4a4d-bb5d-6b55ada9ef6a,DAL,RB,RB,E. Elliott,RB,RB,https://www.fantasypros.com/nfl/players/ezekiel-elliott.php,ezekiel-elliott.php,https://images.fantasypros.com/images/players/nfl/15498/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/15498/headshot/210x210.png,29238,2060769,7,99.9,99.7,100,vs. LV,LV,,8,6,12,7.92,1.30,"Zeke was knocked out of last week's game with a knee injury for a bit, but he did end up returning. While he only put up 10 fantasy points, which would typically be viewed as a disappointing week, this was good enough to put him at RB18 on the week. Week 11 was a weird one for fantasy football RBs and we need to take it with a grain of salt as we evaluate the position moving forward. All indications at the time of writing are that Zeke is going to be ready to roll for this Thanksgiving Day matchup and he belongs right back in your starting lineup as a locked-in RB1. Las Vegas is surrendering 104.1 rushing yards and .8 touchdowns per game to opposing RBs, while also surrendering the 5th-most fantasy points to the position. He might not necessarily be at 100%, but in a game that should see the Cowboys move the ball on this Raiders defense routinely, Zeke's a solid bet to find the end zone. He can be viewed as a low-end RB1.",,,RB8,A,16.8,0.2816666666666667
18239,David Montgomery,1c9e1cd5-8cb1-4a15-a2c8-3a0c0fd5423c,CHI,RB,RB,D. Montgomery,RB,RB,https://www.fantasypros.com/nfl/players/david-montgomery.php,david-montgomery.php,https://images.fantasypros.com/images/players/nfl/18239/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18239/headshot/210x210.png,31905,2261252,10,96.1,95.2,97,at DET,DET,,9,7,13,9.27,1.35,"Montgomery's stats from Week 11 won't wow you, but he continues to be one of the most heavily involved RBs in all of fantasy football. In his two games since returning from injury, Montgomery has seen 27 carries on the ground and he's averaging a healthy 4.5 Yards Per Attempt on the season. The scoring opportunities remain limited in this offense with the way it's performing, but this could be a get-right game for Chicago. The Lions defense is being gashed on the ground and they're one of the best matchups in all of fantasy football for opposing RBs. Montgomery should see his standard 15+ touches again in this one and plenty of opportunity to carve up the Lions defense like every dad to the Thanksgiving turkey. Fire up Montgomery as a low-end RB1/high-end RB2 this week.",,,RB9,A,16.6,0.2603571428571429
19631,James Robinson,5fc196a1-2015-49c7-85b2-1adbd2c33cf5,JAC,RB,RB,J. Robinson,RB,RB,https://www.fantasypros.com/nfl/players/james-robinson.php,james-robinson.php,https://images.fantasypros.com/images/players/nfl/19631/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19631/headshot/210x210.png,33138,2257036,7,97.9,97.7,98,vs. ATL,ATL,,10,8,11,9.88,0.93,"J-Rob's yardage totals have been shrinking in recent weeks, possibly because he's been playing through heel and knee injuries. Over his last three games, Robinson has 28-106-2 rushing and 7-53-0 receiving. The good news is that the touchdowns keep coming. Robinson has scored seven TDs in his last seven games. He has a favorable matchup this week against a Falcons run defense that ranks 24th in DVOA. Robinson is a low-end RB1 this week and a good value at $6,200 on DraftKings.",,,RB10,A-,16.1,0.10811250000000001
