player_id,player_name,sportsdata_id,player_team_id,player_position_id,player_positions,player_short_name,player_eligibility,player_yahoo_positions,player_page_url,player_filename,player_square_image_url,player_image_url,player_yahoo_id,cbs_player_id,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_opponent,player_opponent_id,player_ecr_delta,rank_ecr,rank_min,rank_max,rank_ave,rank_std,pos_rank,start_sit_grade,r2p_pts,uncertainty
17298,Josh Allen,3069db07-aa43-4503-ab11-2ae5c0002721,BUF,QB,QB,J. Allen,QB,QB,https://www.fantasypros.com/nfl/players/josh-allen-qb.php,josh-allen-qb.php,https://images.fantasypros.com/images/players/nfl/17298/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17298/headshot/210x210.png,30977,2181054,7,100.0,99.9,100,at TB,TB,,1,1,3,1.30,0.65,QB1,A+,23.6,0.42250000000000004
18600,Kyler Murray,dd5a6b6e-ffae-45a5-b8e6-718a9251f374,ARI,QB,QB,K. Murray,QB,QB,https://www.fantasypros.com/nfl/players/kyler-murray.php,kyler-murray.php,https://images.fantasypros.com/images/players/nfl/18600/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18600/headshot/210x210.png,31833,2180829,12,99.8,99.6,100,vs. LAR,LAR,,2,1,9,2.30,1.27,QB2,A,22.6,1.6129
18635,Justin Herbert,f0a8f8e3-b9e9-46ed-85e4-eec6452a8a44,LAC,QB,QB,J. Herbert,QB,QB,https://www.fantasypros.com/nfl/players/justin-herbert.php,justin-herbert.php,https://images.fantasypros.com/images/players/nfl/18635/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18635/headshot/210x210.png,32676,2221960,7,98.3,97.6,99,vs. NYG,NYG,1.0,3,1,8,4.41,1.68,QB3,A,22.0,2.8223999999999996
9603,Tom Brady,41c44740-d0f6-44ab-8347-3b5d515e5ecf,TB,QB,QB,T. Brady,QB,QB,https://www.fantasypros.com/nfl/players/tom-brady.php,tom-brady.php,https://images.fantasypros.com/images/players/nfl/9603/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/9603/headshot/210x210.png,5228,187741,9,99.0,99.0,99,vs. BUF,BUF,1.0,4,3,8,4.70,1.61,QB4,A,21.5,0.8640333333333334
17233,Lamar Jackson,e06a9c07-453a-4bb0-a7e9-2c3a64166dad,BAL,QB,QB,L. Jackson,QB,QB,https://www.fantasypros.com/nfl/players/lamar-jackson.php,lamar-jackson.php,https://images.fantasypros.com/images/players/nfl/17233/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17233/headshot/210x210.png,31002,2181169,8,99.7,99.4,100,at CLE,CLE,-2.0,5,3,8,5.05,1.51,QB5,A,21.2,0.7600333333333333
16413,Patrick Mahomes II,11cad59d-90dd-449c-a839-dddaba4fe16c,KC,QB,QB,P. Mahomes II,QB,QB,https://www.fantasypros.com/nfl/players/patrick-mahomes.php,patrick-mahomes.php,https://images.fantasypros.com/images/players/nfl/16413/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16413/headshot/210x210.png,30123,2142052,12,100.0,99.9,100,vs. LV,LV,,6,2,8,5.43,1.78,QB6,A,20.9,1.5842
15600,Dak Prescott,86197778-8d4b-4eba-affe-08ef7be7c70b,DAL,QB,QB,D. Prescott,QB,QB,https://www.fantasypros.com/nfl/players/dak-prescott.php,dak-prescott.php,https://images.fantasypros.com/images/players/nfl/15600/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/15600/headshot/210x210.png,29369,1824864,7,98.6,98.2,99,at WAS,WAS,,7,3,8,6.16,1.26,QB7,B+,20.6,0.5292
9001,Aaron Rodgers,0ce48193-e2fa-466e-a986-33f751add206,GB,QB,QB,A. Rodgers,QB,QB,https://www.fantasypros.com/nfl/players/aaron-rodgers.php,aaron-rodgers.php,https://images.fantasypros.com/images/players/nfl/9001/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/9001/headshot/210x210.png,7200,419780,13,97.4,96.8,98,vs. CHI,CHI,,8,4,9,7.08,1.26,QB8,B+,20.3,0.39690000000000003
17115,Taysom Hill,3c8a55dd-20a8-4375-b711-49eb5e6e1d0e,NO,QB,QB,T. Hill,QB,QB,https://www.fantasypros.com/nfl/players/taysom-hill.php,taysom-hill.php,https://images.fantasypros.com/images/players/nfl/17115/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17115/headshot/210x210.png,30614,2818935,6,52.1,55.1,49,at NYJ,NYJ,,9,5,10,8.95,1.01,QB9,B,19.8,0.20402
9451,Matthew Stafford,ade43b1a-0601-4672-83b6-d246bc066a19,LAR,QB,QB,M. Stafford,QB,QB,https://www.fantasypros.com/nfl/players/matthew-stafford.php,matthew-stafford.php,https://images.fantasypros.com/images/players/nfl/9451/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/9451/headshot/210x210.png,9265,1114942,11,96.9,95.7,98,at ARI,ARI,,10,8,12,9.95,0.77,QB10,B,19.4,0.0741125
11180,Russell Wilson,409d4cac-ee90-4470-9710-ebe671678339,SEA,QB,QB,R. Wilson,QB,QB,https://www.fantasypros.com/nfl/players/russell-wilson.php,russell-wilson.php,https://images.fantasypros.com/images/players/nfl/11180/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11180/headshot/210x210.png,25785,1272242,9,91.2,87.3,95,at HOU,HOU,,11,9,13,11.35,0.71,QB11,B-,18.9,0.05601111111111111
11177,Kirk Cousins,bbd0942c-6f77-4f83-a6d0-66ec6548019e,MIN,QB,QB,K. Cousins,QB,QB,https://www.fantasypros.com/nfl/players/kirk-cousins.php,kirk-cousins.php,https://images.fantasypros.com/images/players/nfl/11177/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11177/headshot/210x210.png,25812,1272574,7,79.8,73.6,86,vs. PIT,PIT,,12,10,14,12.38,1.00,QB12,B-,18.5,0.1
9869,Cam Newton,214e55e4-a089-412d-9598-a16495df0d25,CAR,QB,QB,C. Newton,QB,QB,https://www.fantasypros.com/nfl/players/cam-newton.php,cam-newton.php,https://images.fantasypros.com/images/players/nfl/9869/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/9869/headshot/210x210.png,24788,1273186,13,33.1,36.2,30,vs. ATL,ATL,,13,10,15,13.00,1.09,QB13,C+,18.2,0.11881000000000001
19196,Joe Burrow,3023ac10-4e7f-425f-9fc5-2b8e6332c92e,CIN,QB,QB,J. Burrow,QB,QB,https://www.fantasypros.com/nfl/players/joe-burrow.php,joe-burrow.php,https://images.fantasypros.com/images/players/nfl/19196/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19196/headshot/210x210.png,32671,2179798,10,85.7,82.4,89,vs. SF,SF,,14,11,16,13.35,1.19,QB14,C+,17.9,0.12873636363636362
13932,Taylor Heinicke,2c259733-ec2c-4e3c-bb7b-34dc0d37dc34,WAS,QB,QB,T. Heinicke,QB,QB,https://www.fantasypros.com/nfl/players/taylor-heinicke.php,taylor-heinicke.php,https://images.fantasypros.com/images/players/nfl/13932/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/13932/headshot/210x210.png,28839,2174914,9,31.5,28.0,35,vs. DAL,DAL,,15,14,18,15.76,0.91,QB15,C,17.8,0.05915
12092,Derek Carr,9f026fc0-4449-4dc5-a226-2e2830619381,LV,QB,QB,D. Carr,QB,QB,https://www.fantasypros.com/nfl/players/derek-carr.php,derek-carr.php,https://images.fantasypros.com/images/players/nfl/12092/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/12092/headshot/210x210.png,27564,1664819,8,66.2,64.3,68,at KC,KC,,16,15,19,16.32,1.23,QB16,C,17.6,0.10085999999999999
11174,Ryan Tannehill,5812204c-6dae-4450-8011-99e0f72864ac,TEN,QB,QB,R. Tannehill,QB,QB,https://www.fantasypros.com/nfl/players/ryan-tannehill.php,ryan-tannehill.php,https://images.fantasypros.com/images/players/nfl/11174/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11174/headshot/210x210.png,25718,1273654,13,63.1,59.2,67,vs. JAC,JAC,,17,14,19,16.49,1.22,QB17,C,17.5,0.10631428571428571
12208,Jimmy Garoppolo,42de9d1d-0352-460b-9172-9452414fd7fd,SF,QB,QB,J. Garoppolo,QB,QB,https://www.fantasypros.com/nfl/players/jimmy-garoppolo.php,jimmy-garoppolo.php,https://images.fantasypros.com/images/players/nfl/12208/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/12208/headshot/210x210.png,27590,1760229,6,22.0,13.9,30,at CIN,CIN,,18,17,19,17.97,0.64,QB18,C-,17.1,0.024094117647058825
12088,Teddy Bridgewater,d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7,DEN,QB,QB,T. Bridgewater,QB,QB,https://www.fantasypros.com/nfl/players/teddy-bridgewater.php,teddy-bridgewater.php,https://images.fantasypros.com/images/players/nfl/12088/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/12088/headshot/210x210.png,27560,1825122,11,21.5,17.9,25,vs. DET,DET,,19,15,21,19.16,1.15,QB19,D+,16.6,0.08816666666666666
9039,Ben Roethlisberger,ea357add-1a41-4a8b-8f34-bbfade7f4d98,PIT,QB,QB,B. Roethlisberger,QB,QB,https://www.fantasypros.com/nfl/players/ben-roethlisberger.php,ben-roethlisberger.php,https://images.fantasypros.com/images/players/nfl/9039/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/9039/headshot/210x210.png,6770,493043,7,20.2,18.4,22,at MIN,MIN,,20,16,20,19.22,1.09,QB20,D+,16.1,0.07425625000000001
9444,Matt Ryan,7e648a0b-fdc8-4661-a587-5826f2cac11b,ATL,QB,QB,M. Ryan,QB,QB,https://www.fantasypros.com/nfl/players/matt-ryan.php,matt-ryan.php,https://images.fantasypros.com/images/players/nfl/9444/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/9444/headshot/210x210.png,8780,420095,6,36.1,30.2,42,at CAR,CAR,,21,21,24,21.62,0.88,QB21,D,15.5,0.03687619047619047
17237,Baker Mayfield,30198d30-9769-4e10-ac86-b4c91d940802,CLE,QB,QB,B. Mayfield,QB,QB,https://www.fantasypros.com/nfl/players/baker-mayfield.php,baker-mayfield.php,https://images.fantasypros.com/images/players/nfl/17237/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17237/headshot/210x210.png,30971,2080032,13,27.2,25.3,29,vs. BAL,BAL,,22,21,24,22.35,0.94,QB22,D-,14.9,0.042076190476190475
19781,Justin Fields,cf15be8f-9117-4531-a517-2b9c7cb3e9e1,CHI,QB,QB,J. Fields,QB,QB,https://www.fantasypros.com/nfl/players/justin-fields.php,justin-fields.php,https://images.fantasypros.com/images/players/nfl/19781/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19781/headshot/210x210.png,33399,1273205,10,17.2,15.4,19,at GB,GB,,23,20,24,22.65,1.12,QB23,D-,14.5,0.06272000000000001
22679,Zach Wilson,17bb63b1-1b0e-48e1-baf7-55cd314d0e62,NYJ,QB,QB,Z. Wilson,QB,QB,https://www.fantasypros.com/nfl/players/zach-wilson.php,zach-wilson.php,https://images.fantasypros.com/images/players/nfl/22679/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/22679/headshot/210x210.png,33390,2960892,6,5.8,4.5,7,vs. NO,NO,,24,22,25,23.76,0.91,QB24,F,14.1,0.03764090909090909
19780,Trevor Lawrence,aaa8b42c-4d87-45f6-bfd2-e31cfed9a736,JAC,QB,QB,T. Lawrence,QB,QB,https://www.fantasypros.com/nfl/players/trevor-lawrence.php,trevor-lawrence.php,https://images.fantasypros.com/images/players/nfl/19780/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19780/headshot/210x210.png,33389,2967185,7,24.8,21.5,28,at TEN,TEN,,25,22,28,24.86,0.99,QB25,F,13.7,0.04455
15501,Jared Goff,aba8f925-ffbf-4654-bfa7-a25d3d237494,DET,QB,QB,J. Goff,QB,QB,https://www.fantasypros.com/nfl/players/jared-goff.php,jared-goff.php,https://images.fantasypros.com/images/players/nfl/15501/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/15501/headshot/210x210.png,29235,2061053,9,5.3,3.6,7,at DEN,DEN,,26,25,28,25.97,0.60,QB26,F,13.3,0.0144
22799,Davis Mills,7d51fab7-2d52-4d19-a021-19a123af0d10,HOU,QB,QB,D. Mills,QB,QB,https://www.fantasypros.com/nfl/players/davis-mills.php,davis-mills.php,https://images.fantasypros.com/images/players/nfl/22799/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/22799/headshot/210x210.png,33455,2867381,10,1.4,0.8,2,vs. SEA,SEA,,27,26,28,27.28,0.56,QB27,F,12.9,0.012061538461538464
11685,Mike Glennon,e1235f1e-26ce-438c-8168-3b1ded4ab893,NYG,QB,QB,M. Glennon,QB,QB,https://www.fantasypros.com/nfl/players/mike-glennon.php,mike-glennon.php,https://images.fantasypros.com/images/players/nfl/11685/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11685/headshot/210x210.png,26696,1630353,10,0.9,0.7,1,at LAC,LAC,,28,26,30,27.86,0.83,QB28,F,12.4,0.026496153846153843
13890,Marcus Mariota,7c16c04c-04de-41f3-ac16-ad6a9435e3f7,LV,QB,QB,M. Mariota,QB,QB,https://www.fantasypros.com/nfl/players/marcus-mariota.php,marcus-mariota.php,https://images.fantasypros.com/images/players/nfl/13890/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/13890/headshot/210x210.png,28390,1880862,8,0.2,0.2,0,at KC,KC,,29,29,31,29.52,0.75,QB29,F,1.6,0.01939655172413793
19243,Jake Fromm,12ce10f6-7f95-42db-8ed3-36b14933484f,NYG,QB,QB,J. Fromm,QB,QB,https://www.fantasypros.com/nfl/players/jake-fromm.php,jake-fromm.php,https://images.fantasypros.com/images/players/nfl/19243/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19243/headshot/210x210.png,32837,2803326,10,0.7,0.4,1,at LAC,LAC,,30,28,33,29.68,1.52,QB30,F,1.3,0.08251428571428572
20082,Trey Lance,676a508c-c65f-404a-a2b0-f861a4bfd072,SF,QB,QB,T. Lance,QB,QB,https://www.fantasypros.com/nfl/players/trey-lance.php,trey-lance.php,https://images.fantasypros.com/images/players/nfl/20082/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/20082/headshot/210x210.png,33391,2969444,6,8.6,5.1,12,at CIN,CIN,,31,30,34,31.06,1.14,QB31,F,1.2,0.04332
10007,Tyrod Taylor,7f3ef024-eb34-46af-8b9e-544cdf09378f,HOU,QB,QB,T. Taylor,QB,QB,https://www.fantasypros.com/nfl/players/tyrod-taylor.php,tyrod-taylor.php,https://images.fantasypros.com/images/players/nfl/10007/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/10007/headshot/210x210.png,24967,1243338,10,8.3,11.5,5,vs. SEA,SEA,,32,30,32,31.45,0.78,QB32,F,1.0,0.020280000000000003
