Olamide Zaccheaus,1.2,ATL,
James Proche II,0.0001,BAL,
Miles Boykin,0.0001,BAL,
Gabriel Davis,1.2,BUF,
Cole Beasley,1.0001,BUF,
Isaiah McKenzie,1.0001,BUF,
Emmanuel Sanders,0.0001,BUF,
Tommy Sweeney,0.0001,BUF,
Matt Breida,0.0001,BUF,Should lower singletary upside
Allen Robinson II,1.1,CHI,back from covid.  Says he lost 10 lbs
Damiere Byrd,1.0001,CHI,
Kendall Hinton,1.7,DEN,
Courtland Sutton,1.15,DEN,
Noah Fant,1.1,DEN,
Josh Reynolds,0.0001,DET,Covid
Kalif Raymond,0.0001,DET,Covid
Brock Wright,0.0001,DET,Covid
KhaDarel Hodge,1.5,DET,
Tom Kennedy,2,DET,
Jared Pinkney,3,DET,
Zach Pascal,1.35,IND,
Jacob Hollister,5,JAC,
Dan Arnold,0.0001,JAC,
DeSean Jackson,0.8,LV,
Bryan Edwards,1.3,LV,
N'Keal Harry,0.0001,NE,
Pharoh Cooper,1.6,NYG,
Alex Bachman,3.8,NYG,
Michael Carter,1.1,NYJ,
Quez Watkins,1.2,PHI,
Jalen Reagor,0.9,PHI,
Jauan Jennings,1.2,SF,
Antonio Brown,0.8,TB,
Mike Evans,1.75,TB,
Rob Gronkowski,0.9,TB,
Nick Westbrook-Ikhine,1.2,TEN,
Chester Rogers,1.3,TEN,
Rashod Bateman,1.15,BAL,
Sammy Watkins,1.2,BAL,
Devin Singletary,0.9,BUF,Zack Moss in
Chase Edmonds,1.1,ARI,
James Conner,0.5,ARI,
Mark Ingram II,0.0001,NO,
Alvin Kamara,1.075,NO,
Jaret Patterson,1.1,WAS,
