player_id,player_name,sportsdata_id,player_team_id,player_position_id,player_positions,player_short_name,player_eligibility,player_yahoo_positions,player_page_url,player_filename,player_square_image_url,player_image_url,player_yahoo_id,cbs_player_id,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_opponent,player_opponent_id,player_ecr_delta,rank_ecr,rank_min,rank_max,rank_ave,rank_std,pos_rank,start_sit_grade,r2p_pts,uncertainty
11594,Travis Kelce,c3859e06-5f23-4302-a71b-04820a899d5f,KC,TE,TE,T. Kelce,TE,TE,https://www.fantasypros.com/nfl/players/travis-kelce.php,travis-kelce.php,https://images.fantasypros.com/images/players/nfl/11594/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11594/headshot/210x210.png,26686,1725130,12,100.0,99.9,100,at DEN,DEN,,1,1,2,1.06,0.24,TE1,A+,17.3,0.0576
17269,Mark Andrews,0618f387-9b72-4270-8b8f-dec4cccc9e4a,BAL,TE,TE,M. Andrews,TE,TE,https://www.fantasypros.com/nfl/players/mark-andrews.php,mark-andrews.php,https://images.fantasypros.com/images/players/nfl/17269/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17269/headshot/210x210.png,31056,2131121,8,99.9,99.8,100,vs. PIT,PIT,,2,1,2,1.94,0.24,TE2,A,17.1,0.0576
16499,George Kittle,2ada91b0-036e-454f-83c3-6d939ff584a9,SF,TE,TE,G. Kittle,TE,TE,https://www.fantasypros.com/nfl/players/george-kittle.php,george-kittle.php,https://images.fantasypros.com/images/players/nfl/16499/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16499/headshot/210x210.png,30259,2818265,6,99.8,99.5,100,at LAR,LAR,-1.0,3,3,5,3.69,0.77,TE3,A,14.7,0.19763333333333333
11689,Zach Ertz,de3421f7-2147-4835-89a5-724e87bad463,ARI,TE,TE,Z. Ertz,TE,TE,https://www.fantasypros.com/nfl/players/zach-ertz.php,zach-ertz.php,https://images.fantasypros.com/images/players/nfl/11689/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11689/headshot/210x210.png,26658,1685963,12,85.5,82.0,89,vs. SEA,SEA,1.0,4,3,6,3.75,0.83,TE4,A,15.4,0.22963333333333333
9721,Rob Gronkowski,2142a164-48ad-47d6-bb27-0bc58c6b2e62,TB,TE,TE,R. Gronkowski,TE,TE,https://www.fantasypros.com/nfl/players/rob-gronkowski.php,rob-gronkowski.php,https://images.fantasypros.com/images/players/nfl/9721/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/9721/headshot/210x210.png,24017,1244303,9,97.8,98.5,97,vs. CAR,CAR,,5,4,6,4.81,0.63,TE5,A-,14.5,0.09922500000000001
18631,Dawson Knox,5fb525c5-4e70-4ede-8c49-94ad0cf66b7d,BUF,TE,TE,D. Knox,TE,TE,https://www.fantasypros.com/nfl/players/dawson-knox.php,dawson-knox.php,https://images.fantasypros.com/images/players/nfl/18631/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18631/headshot/210x210.png,31928,2186345,7,87.3,89.6,85,vs. NYJ,NYJ,2.0,6,5,10,6.81,1.13,TE6,B,13.2,0.25537999999999994
14104,Darren Waller,14c97c9f-26e8-4944-9299-f90de6aeada3,LV,TE,TE,D. Waller,TE,TE,https://www.fantasypros.com/nfl/players/darren-waller.php,darren-waller.php,https://images.fantasypros.com/images/players/nfl/14104/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/14104/headshot/210x210.png,28592,1850793,8,92.6,95.2,90,vs. LAC,LAC,,7,5,10,7.19,1.42,TE7,B+,11.4,0.40327999999999997
17349,Dalton Schultz,8caec1b4-e0b6-4a84-b8c8-617d6e91ef6a,DAL,TE,TE,D. Schultz,TE,TE,https://www.fantasypros.com/nfl/players/dalton-schultz.php,dalton-schultz.php,https://images.fantasypros.com/images/players/nfl/17349/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17349/headshot/210x210.png,31107,2136748,7,90.2,91.4,89,at PHI,PHI,,8,6,14,7.63,1.87,TE8,B-,11.0,0.5828166666666668
17527,Noah Fant,cdc98acc-9eb6-4b44-81bb-61d7b8a3b55f,DEN,TE,TE,N. Fant,TE,TE,https://www.fantasypros.com/nfl/players/noah-fant.php,noah-fant.php,https://images.fantasypros.com/images/players/nfl/17527/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17527/headshot/210x210.png,31852,2251095,11,80.3,78.6,82,vs. KC,KC,,9,9,12,10.25,1.09,TE9,C+,9.4,0.13201111111111113
15561,Hunter Henry,705899da-3c20-4bc3-b5d0-2e6e40655131,NE,TE,TE,H. Henry,TE,TE,https://www.fantasypros.com/nfl/players/hunter-henry.php,hunter-henry.php,https://images.fantasypros.com/images/players/nfl/15561/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/15561/headshot/210x210.png,29269,2079848,14,65.9,53.8,78,at MIA,MIA,,10,8,13,10.38,1.62,TE10,C+,9.3,0.32805000000000006
17272,Mike Gesicki,1012cbe0-7eba-4169-bfca-183a0204e1a7,MIA,TE,TE,M. Gesicki,TE,TE,https://www.fantasypros.com/nfl/players/mike-gesicki.php,mike-gesicki.php,https://images.fantasypros.com/images/players/nfl/17272/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17272/headshot/210x210.png,31012,2139298,14,87.8,88.5,87,vs. NE,NE,,11,9,13,11.13,1.11,TE11,C,8.9,0.13690000000000002
20164,Kyle Pitts,1f3deb24-9ff8-4769-8f42-825eff7742f6,ATL,TE,TE,K. Pitts,TE,TE,https://www.fantasypros.com/nfl/players/kyle-pitts.php,kyle-pitts.php,https://images.fantasypros.com/images/players/nfl/20164/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/20164/headshot/210x210.png,33392,2964514,6,97.4,97.8,97,vs. NO,NO,,12,8,20,12.38,3.50,TE12,C,8.8,1.53125
15623,Tyler Higbee,0df7912d-9e81-47ea-b4f7-d04986df4ee8,LAR,TE,TE,T. Higbee,TE,TE,https://www.fantasypros.com/nfl/players/tyler-higbee.php,tyler-higbee.php,https://images.fantasypros.com/images/players/nfl/15623/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/15623/headshot/210x210.png,29344,1853103,11,77.3,70.6,84,vs. SF,SF,,13,12,15,13.25,1.09,TE13,C,8.4,0.09900833333333335
20163,Pat Freiermuth,04f0fefe-9d9d-44f5-94ea-6df2a42df3c6,PIT,TE,TE,P. Freiermuth,TE,TE,https://www.fantasypros.com/nfl/players/pat-freiermuth.php,pat-freiermuth.php,https://images.fantasypros.com/images/players/nfl/20163/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/20163/headshot/210x210.png,33443,2961270,7,56.7,59.4,54,at BAL,BAL,,14,9,21,14.38,3.37,TE14,C-,8.2,1.2618777777777779
19229,Cole Kmet,036feeb6-9a22-43c5-a8e3-7ac611d8ff49,CHI,TE,TE,C. Kmet,TE,TE,https://www.fantasypros.com/nfl/players/cole-kmet.php,cole-kmet.php,https://images.fantasypros.com/images/players/nfl/19229/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19229/headshot/210x210.png,32713,2868619,10,33.4,35.8,31,at MIN,MIN,,15,14,17,15.31,1.16,TE15,C-,7.8,0.09611428571428571
17598,Tyler Conklin,f0d17dfa-ebf3-416c-a8d2-c6bc30675103,MIN,TE,TE,T. Conklin,TE,TE,https://www.fantasypros.com/nfl/players/tyler-conklin.php,tyler-conklin.php,https://images.fantasypros.com/images/players/nfl/17598/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17598/headshot/210x210.png,31127,2165249,7,40.6,41.2,40,vs. CHI,CHI,,16,13,17,15.56,1.27,TE16,C-,7.6,0.12406923076923076
16459,Gerald Everett,ebeceb00-57e0-4b74-9cf7-853da2afed18,SEA,TE,TE,G. Everett,TE,TE,https://www.fantasypros.com/nfl/players/gerald-everett.php,gerald-everett.php,https://images.fantasypros.com/images/players/nfl/16459/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16459/headshot/210x210.png,30157,2142692,9,35.8,20.5,51,at ARI,ARI,,17,16,20,17.06,1.39,TE17,D+,6.8,0.12075624999999998
9265,Jared Cook,3b7a1409-d154-4e5c-8c94-9d4a0e0993c7,LAC,TE,TE,J. Cook,TE,TE,https://www.fantasypros.com/nfl/players/jared-cook.php,jared-cook.php,https://images.fantasypros.com/images/players/nfl/9265/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/9265/headshot/210x210.png,9353,584314,7,50.1,48.2,52,at LV,LV,,18,15,23,18.31,1.83,TE18,D,6.8,0.22326000000000004
16411,Evan Engram,e21365af-8d66-416e-b0a5-8816d18fcfd9,NYG,TE,TE,E. Engram,TE,TE,https://www.fantasypros.com/nfl/players/evan-engram.php,evan-engram.php,https://images.fantasypros.com/images/players/nfl/16411/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16411/headshot/210x210.png,30136,2079887,10,28.6,27.1,30,vs. WAS,WAS,2.0,19,17,21,18.63,1.22,TE19,D-,6.7,0.08755294117647058
18246,Albert Okwuegbunam,617aee8a-70be-4bdf-9a71-2e2b74e647e6,DEN,TE,TE,A. Okwuegbunam,TE,TE,https://www.fantasypros.com/nfl/players/albert-okwuegbunam.php,albert-okwuegbunam.php,https://images.fantasypros.com/images/players/nfl/18246/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18246/headshot/210x210.png,32788,2245117,11,1.0,1.0,1,vs. KC,KC,,20,20,25,22.44,1.41,TE20,F,6.6,0.099405
