Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
3072163034,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),Najee Harris (20851452),Patrick Taylor (20851748),Odell Beckham Jr. (20851812),Van Jefferson (20851834),Deebo Samuel (20851776),Cole Kmet (20852296),James Conner (20851468),Bengals (20852579),,1. Column A lists all of your contest entries for this draftgroup
3072178378,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),Devin Singletary (20851476),Patrick Taylor (20851748),Van Jefferson (20851834),Allen Robinson II (20851892),Deebo Samuel (20851776),George Kittle (20852270),James Conner (20851468),Bills (20852570),,2. Your current lineup is listed next to each entry (blank for reservations)
3072178379,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),Devin Singletary (20851476),Patrick Taylor (20851748),Brandon Aiyuk (20851816),Van Jefferson (20851834),Cooper Kupp (20851772),Hunter Henry (20852286),James Conner (20851468),Texans (20852586),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
3072178380,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Russell Wilson (20851356),Najee Harris (20851452),Patrick Taylor (20851748),Christian Kirk (20851804),Tyler Lockett (20851796),DK Metcalf (20851792),Cole Kmet (20852296),Sony Michel (20851480),Colts (20852569),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
3072178381,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Tom Brady (20851351),Sony Michel (20851480),Patrick Taylor (20851748),Mike Evans (20851788),DJ Moore (20851814),Allen Robinson II (20851892),Rob Gronkowski (20852272),James Conner (20851468),Bengals (20852579),,5. For faster processing only include entries you are changing in the file you upload
3072178382,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),David Montgomery (20851460),Patrick Taylor (20851748),Brandon Aiyuk (20851816),Odell Beckham Jr. (20851812),Deebo Samuel (20851776),Hunter Henry (20852286),James Conner (20851468),Packers (20852572),,
3072178383,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Cam Newton (20851399),Najee Harris (20851452),Patrick Taylor (20851748),Robby Anderson (20851870),Justin Jefferson (20851780),DJ Moore (20851814),Rob Gronkowski (20852272),James Conner (20851468),WAS Football Team (20852576),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
3072178384,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),James Conner (20851468),David Montgomery (20851460),Odell Beckham Jr. (20851812),Van Jefferson (20851834),Equanimeous St. Brown (20852244),George Kittle (20852270),Devin Singletary (20851476),Patriots (20852571),,WR,Cooper Kupp (20851772),Cooper Kupp,20851772,WR/FLEX,9700,SF@LAR 01/09/2022 04:25PM ET,LAR,27.68
3072178385,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),D'Onta Foreman (20851490),Patrick Taylor (20851748),Brandon Aiyuk (20851816),Cooper Kupp (20851772),Ray-Ray McCloud III (20851908),George Kittle (20852270),James Conner (20851468),Cardinals (20852584),,WR,Davante Adams (20851774),Davante Adams,20851774,WR/FLEX,9400,GB@DET 01/09/2022 01:00PM ET,GB,23.79
3072178386,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Kirk Cousins (20851358),Sony Michel (20851480),Patrick Taylor (20851748),Justin Jefferson (20851780),Darnell Mooney (20851808),K.J. Osborn (20851822),Hunter Henry (20852286),James Conner (20851468),Buccaneers (20852568),,RB,Jonathan Taylor (20851442),Jonathan Taylor,20851442,RB/FLEX,9300,IND@JAX 01/09/2022 01:00PM ET,IND,24.72
3072178387,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),D'Onta Foreman (20851490),Najee Harris (20851452),Brandon Aiyuk (20851816),Van Jefferson (20851834),Deebo Samuel (20851776),Zach Ertz (20852278),Patrick Taylor (20851748),WAS Football Team (20852576),,WR,Deebo Samuel (20851776),Deebo Samuel,20851776,WR/FLEX,8500,SF@LAR 01/09/2022 04:25PM ET,SF,21.8
3072178388,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Ryan Tannehill (20851359),Sony Michel (20851480),Patrick Taylor (20851748),A.J. Brown (20851790),Brandin Cooks (20851800),Diontae Johnson (20851784),Anthony Firkser (20852308),James Conner (20851468),Patriots (20852571),,RB,Alvin Kamara (20851444),Alvin Kamara,20851444,RB/FLEX,8300,NO@ATL 01/09/2022 04:25PM ET,NO,18.79
3072178389,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),James Conner (20851468),Najee Harris (20851452),Brandon Aiyuk (20851816),Deebo Samuel (20851776),Equanimeous St. Brown (20852244),Tyler Higbee (20852288),Devin Singletary (20851476),Colts (20852569),,WR,Ja'Marr Chase (20851778),Ja'Marr Chase,20851778,WR/FLEX,8300,CIN@CLE 01/09/2022 01:00PM ET,CIN,19.75
3072178390,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),James Conner (20851468),Patrick Taylor (20851748),Marvin Jones Jr. (20851878),Cooper Kupp (20851772),Deebo Samuel (20851776),Cole Kmet (20852296),Eli Mitchell (20851478),Jets (20852592),,WR,Justin Jefferson (20851780),Justin Jefferson,20851780,WR/FLEX,8100,CHI@MIN 01/09/2022 01:00PM ET,MIN,20.46
3072178391,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Russell Wilson (20851356),David Montgomery (20851460),Patrick Taylor (20851748),Van Jefferson (20851834),Tyler Lockett (20851796),DK Metcalf (20851792),Zach Ertz (20852278),Devin Singletary (20851476),Ravens (20852575),,QB,Josh Allen (20851349),Josh Allen,20851349,QB,8100,NYJ@BUF 01/09/2022 04:25PM ET,BUF,26.11
3072178392,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),D'Onta Foreman (20851490),Patrick Taylor (20851748),Brandon Aiyuk (20851816),Odell Beckham Jr. (20851812),Justin Jefferson (20851780),Tyler Higbee (20852288),James Conner (20851468),Colts (20852569),,RB,Nick Chubb (20851446),Nick Chubb,20851446,RB/FLEX,7900,CIN@CLE 01/09/2022 01:00PM ET,CLE,17.25
3072178393,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Kirk Cousins (20851358),Najee Harris (20851452),Patrick Taylor (20851748),Brandin Cooks (20851800),Justin Jefferson (20851780),Allen Robinson II (20851892),Tyler Conklin (20852284),James Conner (20851468),Colts (20852569),,QB,Aaron Rodgers (20851350),Aaron Rodgers,20851350,QB,7800,GB@DET 01/09/2022 01:00PM ET,GB,22.34
