player_id,player_name,sportsdata_id,player_team_id,player_position_id,player_positions,player_short_name,player_eligibility,player_yahoo_positions,player_page_url,player_filename,player_square_image_url,player_image_url,player_yahoo_id,cbs_player_id,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_opponent,player_opponent_id,player_ecr_delta,rank_ecr,rank_min,rank_max,rank_ave,rank_std,note,tag,recommendation,pos_rank,start_sit_grade,r2p_pts,uncertainty
12123,Davante Adams,e7d6ae25-bf15-4660-8b37-c37716551de3,GB,WR,WR,D. Adams,WR,WR,https://www.fantasypros.com/nfl/players/davante-adams.php,davante-adams.php,https://images.fantasypros.com/images/players/nfl/12123/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/12123/headshot/210x210.png,27581,1893167,13,100.0,99.9,100,vs. DET,DET,,1,1,6,1.25,0.81,"Week 1 is in the past, so it's time to look ahead to MNF, where Adams should shine against the division-rival Lions. Even on a day where Aaron Rodgers would have been better off throwing the ball in the dirt every play, Adams still managed a 5/56 line on seven targets. The volume will be there, so keep playing him as an elite WR1.",start,,WR1,A+,22.5,0.6561000000000001
15802,Tyreek Hill,01d8aee3-e1c4-4988-970a-8c0c2d08bd83,KC,WR,WR,T. Hill,WR,WR,https://www.fantasypros.com/nfl/players/tyreek-hill.php,tyreek-hill.php,https://images.fantasypros.com/images/players/nfl/15802/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/15802/headshot/210x210.png,29399,2131163,12,100.0,99.9,100,at BAL,BAL,,2,1,9,2.50,1.24,You're simply not giving a second thought to playing a guy who erupted for 11/197/1 on 15 targets a week ago. Patrick Mahomes' top target is always in the weekly conversation to finish as fantasy's top wideout.,start,,WR2,A+,21.2,1.5376
11606,DeAndre Hopkins,5c48ade7-4b9a-4757-9643-87a6e3839e2b,ARI,WR,WR,D. Hopkins,WR,WR,https://www.fantasypros.com/nfl/players/deandre-hopkins.php,deandre-hopkins.php,https://images.fantasypros.com/images/players/nfl/11606/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11606/headshot/210x210.png,26650,1737078,12,100.0,99.9,100,vs. MIN,MIN,,3,1,9,3.47,1.37,"After smoking the Titans in Week 1 to the tune of 6/83/2, D-Hop gets another great matchup in Week 2 against the Vikings. He's a no-brainer top-3 option.",start,,WR3,A+,20.3,1.8769000000000002
13981,Stefon Diggs,a1c40664-b265-4083-aad2-54b4c734f2c5,BUF,WR,WR,S. Diggs,WR,WR,https://www.fantasypros.com/nfl/players/stefon-diggs.php,stefon-diggs.php,https://images.fantasypros.com/images/players/nfl/13981/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/13981/headshot/210x210.png,28534,2000038,7,100.0,99.9,100,at MIA,MIA,,4,1,16,4.36,1.86,"A 69-yard game with no touchdowns was a disappointing start for Diggs, but he was targeted 13 times and had nine receptions, so volume isn't a concern. There shouldn't be any concerns with Diggs for that matter - not even a tricky matchup against Byron Jones. In two games against the Dolphins last year, Diggs totaled 21 targets, 15 receptions, 229 yards and a touchdown.",,,WR4,A+,19.7,3.4596000000000005
11616,Keenan Allen,5f424505-f29f-433c-b3f2-1a143a04a010,LAC,WR,WR,K. Allen,WR,WR,https://www.fantasypros.com/nfl/players/keenan-allen.php,keenan-allen.php,https://images.fantasypros.com/images/players/nfl/11616/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11616/headshot/210x210.png,26699,1737096,7,99.9,99.7,100,vs. DAL,DAL,,5,3,11,5.50,1.89,"Allen was his typically prolific self in Week 1, catching 9 of 13 targets for 100 yards. He now gets a mouth-watering matchup against overmatched Dallas slot corner Jourdan Lewis. This is NOT a good week to be up against Allen in your fantasy league.",,,WR5,A+,19.0,1.1906999999999999
18219,D.K. Metcalf,754faf0f-40f7-45f0-b23b-6ce990ecaf26,SEA,WR,WR,D.K. Metcalf,WR,WR,https://www.fantasypros.com/nfl/players/dk-metcalf.php,dk-metcalf.php,https://images.fantasypros.com/images/players/nfl/18219/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18219/headshot/210x210.png,31896,2260185,9,100.0,99.9,100,vs. TEN,TEN,,6,2,15,6.55,2.46,"Arizona's WRs obliterated the Titans' secondary in Week 1, so Metcalf is in a prime position to erupt in this matchup. His teammate Tyler Locket stole the show in Week 1, but DK should be OK here.",start,,WR6,A+,18.9,3.0258
17258,Calvin Ridley,926e2674-52d6-4cec-9991-46ee85cc8cfd,ATL,WR,WR,C. Ridley,WR,WR,https://www.fantasypros.com/nfl/players/calvin-ridley.php,calvin-ridley.php,https://images.fantasypros.com/images/players/nfl/17258/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17258/headshot/210x210.png,30996,2186328,6,99.9,99.8,100,at TB,TB,,7,2,17,7.72,2.83,"Ridley's huge season is off to a slow start, eh? Nothing to fear, fantasy football managers. Tampa Bay's strength is in stopping the run, but Dak Prescott had his way with the Bucs' secondary in Week 1, and Ridley should be able to get back on track as a locked-in WR1.",start,,WR7,A,18.8,4.00445
13894,Amari Cooper,00f88be8-45f9-4237-b2b8-3271ec790d07,DAL,WR,WR,A. Cooper,WR,WR,https://www.fantasypros.com/nfl/players/amari-cooper.php,amari-cooper.php,https://images.fantasypros.com/images/players/nfl/13894/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/13894/headshot/210x210.png,28392,1984220,7,99.3,99.5,99,at LAC,LAC,,8,3,17,9.70,2.52,"Coop went berserk in the Thursday-night opener, catching 13 of 17 targets for 139 yards and two TDs. The Chargers mix up coverages, so it's not clear who Cooper is going to be facing on any given play. But with Michael Gallup on IR with a calf injury, Cooper is going to be a critical part of the Cowboys' offensive gameplan every week.",,,WR8,A,18.5,2.1168
19236,Justin Jefferson,4131d4ee-0318-4bb5-832a-4dec80668a4f,MIN,WR,WR,J. Jefferson,WR,WR,https://www.fantasypros.com/nfl/players/justin-jefferson.php,justin-jefferson.php,https://images.fantasypros.com/images/players/nfl/19236/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19236/headshot/210x210.png,32692,2871343,7,99.9,99.7,100,at ARI,ARI,,9,4,19,10.27,2.96,"As noted in the Dalvin Cook blurb, Jefferson was robbed of a touchdown where he pretty clearly crossed the goal line before the ball squirted out and was recovered by the Vikings. Jefferson couldn't quite get it going in Week 1, but a 5-71-0 line on nine targets isn't terrible. Jefferson's primary defender on Sunday should be Marco Wilson - a matchup Jefferson should win.",,,WR9,A,18.5,2.1904
18218,A.J. Brown,a9e580f2-1fbe-46fb-887c-c84089b507e4,TEN,WR,WR,A.J. Brown,WR,WR,https://www.fantasypros.com/nfl/players/aj-brown.php,aj-brown.php,https://images.fantasypros.com/images/players/nfl/18218/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18218/headshot/210x210.png,31883,2258303,13,99.9,99.8,100,at SEA,SEA,,10,3,21,10.45,4.02,"The Tennessee passing game was largely dysfunctional in a Week 1 loss to the Cardinals, but Brown kept his fantasy managers afloat with a 13-yard TD catch in the third quarter, salvaging an otherwise forgettable day. Brown appeared to show no ill effects from the knee issues that he's been dealing with lately. And despite the offseason arrival of Julio Jones, Brown still led the Titans in target with eight. There are no real reasons for concern here other than the general sluggishness of the Titans' passing game last weekend.",,,WR10,A,18.0,5.386799999999998
13971,Tyler Lockett,dffa69ad-331e-4f09-ae38-40a5a4406be6,SEA,WR,WR,T. Lockett,WR,WR,https://www.fantasypros.com/nfl/players/tyler-lockett.php,tyler-lockett.php,https://images.fantasypros.com/images/players/nfl/13971/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/13971/headshot/210x210.png,28457,1860834,9,99.0,98.9,99,vs. TEN,TEN,,11,5,19,11.24,2.59,"Lockett finished as the WR6 in Week 1, and there's no reason he can't be a WR1 again this week. The Titans were toasted by DeAndre Hopkins and Christian Kirk last week, and the duo of Lockett and DK Metcalf are arguably better. Both can be top-12 options in what projects to be a highly-favorable matchup.",start,,WR11,A,17.4,1.3416199999999998
12126,Allen Robinson II,0fd32417-8410-4a8f-8919-386c433bca43,CHI,WR,WR,A. Robinson II,WR,WR,https://www.fantasypros.com/nfl/players/allen-robinson.php,allen-robinson.php,https://images.fantasypros.com/images/players/nfl/12126/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/12126/headshot/210x210.png,27589,1889923,10,99.1,99.2,99,vs. CIN,CIN,,12,5,19,11.66,2.70,"A-Rob's Week 1 performance was highly encouraging for his Week 2 outlook. He led the Bears in targets (11) and went 6/35 while facing Jalen Ramsey. He gets a much better matchup in Week 2 when Andy Dalton faces his former team. Robinson has proven to be QB-proof throughout his career, so expect a better showing here.",start,,WR12,A,17.2,1.4580000000000002
19202,CeeDee Lamb,a72ea15b-5199-4101-a300-846e1c655add,DAL,WR,WR,C. Lamb,WR,WR,https://www.fantasypros.com/nfl/players/ceedee-lamb.php,ceedee-lamb.php,https://images.fantasypros.com/images/players/nfl/19202/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19202/headshot/210x210.png,32687,2865251,7,99.8,99.5,100,at LAC,LAC,,13,4,23,12.57,3.09,"He wasn't especially efficient with his targets, but Lamb turned his 15 targets into seven receptions for 104 yards and a touchdown, and he looked very much like the budding superstar he is. Now Michael Gallup is going to miss a month or so for the Cowboys. That could mean No. 4 receiver Cedrick Wilson gets into the mix, or it could mean more targets for Lamb and Amari Cooper. And as I noted in the blurb about Dak Prescott, the Demarcus Lawrence injury could REALLY pump up the passing volume for Dallas. Lamb should be regarded as a low-end WR1.",,,WR13,A,17.0,2.387025
