"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Justin Herbert","LAC","DAL","QB","6700","24.4","3.7","15.0","19183997","33.4"
"CeeDee Lamb","DAL","LAC","WR","6400","19.2","3.6","22.0","19184506","28.9"
"Amari Cooper","DAL","LAC","WR","6800","19.6","3.2","21.0","19184496","29.8"
"Cooper Kupp","LA","IND","WR","6000","18.0","3.1","19.5","19184518","26.6"
"Alvin Kamara","NO","CAR","RB","8800","23.4","3.0","12.8","19184094","31.8"
"Najee Harris","PIT","LV","RB","6300","18.5","3.0","27.0","19184110","26.1"
"Dak Prescott","DAL","LAC","QB","6800","23.7","2.7","14.0","19183996","34.4"
"Tom Brady","TB","ATL","QB","6900","24.0","2.7","11.0","19183995","34.5"
"Christian McCaffrey","CAR","NO","RB","9900","25.2","2.6","10.0","19184090","32.8"
"Keenan Allen","LAC","DAL","WR","7000","19.5","2.6","20.0","19184492","28.8"
"Josh Allen","BUF","MIA","QB","7200","24.7","2.5","11.5","19183994","37.0"
"Chris Carson","SEA","TEN","RB","6100","17.6","2.5","24.0","19184114","25.2"
"Teddy Bridgewater","DEN","JAX","QB","5400","19.1","2.3","4.6","19184012","25.0"
"Dalvin Cook","MIN","ARI","RB","9100","23.2","2.2","12.4","19184092","31.3"
"Robert Woods","LA","IND","WR","5700","16.3","2.0","13.1","19184530","24.5"
"Ben Roethlisberger","PIT","LV","QB","5900","20.3","2.0","3.0","19184006","26.5"
"Ezekiel Elliott","DAL","LAC","RB","6200","17.1","1.9","18.3","19184112","24.5"
"Nick Chubb","CLE","HOU","RB","7800","20.1","1.7","11.1","19184098","30.0"
"Chris Godwin","TB","ATL","WR","6600","17.7","1.6","17.8","19184500","27.9"
"Darrell Henderson Jr.","LA","IND","RB","5700","15.8","1.5","11.0","19184126","22.6"
"Noah Fant","DEN","JAX","TE","4200","12.7","1.4","19.2","19185158","19.3"
"Tyler Higbee","LA","IND","TE","4100","12.5","1.4","22.7","19185160","18.9"
"Tyler Lockett","SEA","TEN","WR","7200","18.6","1.4","7.5","19184488","29.2"
"Derek Carr","LV","PIT","QB","5300","17.7","1.3","0.8","19184014","24.5"
"Joe Mixon","CIN","CHI","RB","7000","18.1","1.2","12.7","19184104","24.6"
"Ja'Marr Chase","CIN","CHI","WR","5000","14.1","1.2","15.8","19184554","20.5"
"Jalen Hurts","PHI","SF","QB","6500","21.3","1.2","9.4","19183999","30.3"
"Diontae Johnson","PIT","LV","WR","6400","16.9","1.2","6.9","19184504","24.2"
"Cole Beasley","BUF","MIA","WR","4600","13.2","1.1","14.3","19184576","19.9"
"Allen Robinson II","CHI","CIN","WR","6200","16.4","1.1","10.9","19184512","23.4"
"Marvin Jones Jr.","JAX","DEN","WR","4700","13.3","1.0","4.8","19184572","18.3"
"Austin Ekeler","LAC","DAL","RB","7300","18.4","1.0","12.0","19184100","26.5"
"Jared Cook","LAC","DAL","TE","3900","11.7","1.0","12.4","19185164","18.8"
"Russell Wilson","SEA","TEN","QB","7500","24.2","1.0","5.0","19183993","34.7"
"Steelers ","PIT","LV","DST","3000","8.0","1.0","10.0","19185510","13.1"
"A.J. Brown","TEN","SEA","WR","6900","17.5","0.9","8.7","19184494","26.5"
"Calvin Ridley","ATL","TB","WR","7500","18.6","0.8","9.0","19184484","26.3"
"Stefon Diggs","BUF","MIA","WR","7700","19.0","0.8","11.0","19184480","27.8"
"Damien Harris","NE","NYJ","RB","5400","14.4","0.7","12.0","19184132","21.3"
"Saints ","NO","CAR","DST","3100","7.8","0.7","8.0","19185509","12.9"
"Matthew Stafford","LA","IND","QB","6400","20.4","0.6","3.3","19184000","29.4"
"DK Metcalf","SEA","TEN","WR","7600","18.7","0.6","5.5","19184482","28.5"
"Emmanuel Sanders","BUF","MIA","WR","4000","11.4","0.5","9.0","19184598","17.3"
"David Montgomery","CHI","CIN","RB","6100","15.6","0.5","11.9","19184116","22.3"
"Javonte Williams","DEN","JAX","RB","4400","12.2","0.5","4.0","19184182","18.6"
"Andy Dalton","CHI","CIN","QB","5200","16.5","0.4","0.5","19184017","22.5"
"Mike Williams","LAC","DAL","WR","6100","15.5","0.4","8.0","19184514","24.5"
"JuJu Smith-Schuster","PIT","LV","WR","5700","14.6","0.4","6.1","19184528","21.2"
"Sam Darnold","CAR","NO","QB","5200","16.5","0.3","1.6","19184016","24.1"
"Baker Mayfield","CLE","HOU","QB","6000","18.8","0.2","2.0","19184004","28.1"
"Jakobi Meyers","NE","NYJ","WR","5100","13.3","0.2","6.1","19184550","20.3"
"Jets ","NYJ","NE","DST","2200","5.6","0.2","14.6","19185523","9.9"
"Kenyan Drake","LV","PIT","RB","4900","12.8","0.1","12.9","19184154","17.5"
"Tua Tagovailoa","MIA","BUF","QB","5500","17.1","0.0","1.4","19184010","26.0"
"Derrick Henry","TEN","SEA","RB","8300","19.4","0.0","2.6","19184096","25.7"
"Patriots ","NE","NYJ","DST","3700","8.4","0.0","3.3","19185505","13.7"
"Tyler Boyd","CIN","CHI","WR","4700","12.2","-0.1","7.8","19184570","17.6"
"Tee Higgins","CIN","CHI","WR","5400","13.6","-0.1","10.1","19184542","19.6"
"Antonio Brown","TB","ATL","WR","6000","14.8","-0.1","7.0","19184520","23.4"
"Mike Davis","ATL","TB","RB","5500","13.7","-0.2","7.7","19184130","17.9"
"Jaylen Waddle","MIA","BUF","WR","4500","11.8","-0.2","11.0","19184582","16.6"
"Marquez Callaway","NO","CAR","WR","4200","11.1","-0.2","4.8","19184588","16.2"
"Mike Evans","TB","ATL","WR","6100","14.9","-0.2","5.9","19184516","23.7"
"Eagles ","PHI","SF","DST","2400","5.6","-0.2","8.0","19185520","9.8"
"Kyler Murray","ARI","MIN","QB","8200","24.9","-0.3","7.5","19183992","34.6"
"Deebo Samuel","SF","PHI","WR","6700","16.0","-0.3","4.9","19184498","24.7"
"George Kittle","SF","PHI","TE","6400","15.4","-0.3","8.1","19185146","24.0"
"Ryan Tannehill","TEN","SEA","QB","6300","19.2","-0.3","2.5","19184001","28.9"
"DeAndre Hopkins","ARI","MIN","WR","8000","18.5","-0.4","5.0","19184478","27.8"
"Cole Kmet","CHI","CIN","TE","3700","9.9","-0.4","4.8","19185172","14.3"
"Joe Burrow","CIN","CHI","QB","5800","17.5","-0.4","3.5","19184007","25.0"
"Carson Wentz","IND","LA","QB","5200","15.8","-0.4","1.0","19184015","23.1"
"Laviska Shenault Jr.","JAX","DEN","WR","4900","12.3","-0.4","2.1","19184558","16.3"
"Hunter Renfrow","LV","PIT","WR","3600","9.7","-0.4","1.9","19184630","13.8"
"Kirk Cousins","MIN","ARI","QB","6200","18.8","-0.4","0.8","19184002","24.7"
"Adam Thielen","MIN","ARI","WR","7100","16.6","-0.4","0.7","19184490","23.7"
"Adam Trautman","NO","CAR","TE","3000","8.5","-0.4","8.9","19185196","12.9"
"Julio Jones","TEN","SEA","WR","6300","15.1","-0.4","3.7","19184510","22.5"
"Cardinals ","ARI","MIN","DST","2900","6.4","-0.4","4.7","19185512","11.0"
"Chase Edmonds","ARI","MIN","RB","4900","12.3","-0.5","7.8","19184150","18.2"
"Darnell Mooney","CHI","CIN","WR","4200","10.8","-0.5","3.4","19184592","15.8"
"Jonathan Taylor","IND","LA","RB","7200","16.8","-0.5","3.8","19184102","22.6"
"Zach Wilson","NYJ","NE","QB","5100","15.4","-0.5","0.5","19184018","22.1"
"Bears ","CHI","CIN","DST","2800","6.0","-0.5","6.8","19185515","10.5"
"Browns ","CLE","HOU","DST","3500","7.5","-0.5","5.9","19185507","12.5"
"Vikings ","MIN","ARI","DST","2100","4.7","-0.5","9.0","19185525","8.6"
"A.J. Green","ARI","MIN","WR","3700","9.8","-0.6","1.0","19184612","15.0"
"Matt Ryan","ATL","TB","QB","5600","16.8","-0.6","1.1","19184009","23.8"
"Courtland Sutton","DEN","JAX","WR","5200","12.7","-0.6","4.9","19184548","19.6"
"Nyheim Hines","IND","LA","RB","4700","11.7","-0.6","1.5","19184158","16.4"
"Justin Jefferson","MIN","ARI","WR","7400","16.9","-0.7","2.4","19184486","25.3"
"Corey Davis","NYJ","NE","WR","5300","12.8","-0.7","6.2","19184544","17.3"
"Chase Claypool","PIT","LV","WR","5600","13.4","-0.7","4.4","19184534","20.2"
"Panthers ","CAR","NO","DST","2700","5.7","-0.7","2.3","19185516","10.0"
"Broncos ","DEN","JAX","DST","3800","7.9","-0.7","1.2","19185504","13.0"
"Kyle Pitts","ATL","TB","TE","5200","12.5","-0.8","6.1","19185148","16.7"
"Cedrick Wilson","DAL","LAC","WR","3100","8.3","-0.8","1.7","19184690","13.2"
"Darren Waller","LV","PIT","TE","7600","17.3","-0.8","3.6","19185144","24.2"
"Bengals ","CIN","CHI","DST","2900","5.9","-0.8","0.8","19185513","10.3"
"Chargers ","LAC","DAL","DST","2600","5.4","-0.8","5.9","19185517","9.5"
"Rondale Moore","ARI","MIN","WR","4000","10.0","-0.9","2.7","19184600","16.5"
"Terrace Marshall Jr.","CAR","NO","WR","3300","8.7","-0.9","2.0","19184658","11.7"
"Jaguars ","JAX","DEN","DST","2300","4.7","-0.9","4.3","19185522","8.6"
"DJ Moore","CAR","NO","WR","5900","13.7","-1.0","5.0","19184522","18.8"
"Tyrod Taylor","HOU","CLE","QB","5500","16.1","-1.0","0.5","19184011","23.6"
"Dolphins ","MIA","BUF","DST","2500","5.0","-1.0","3.4","19185519","9.0"
"Donovan Peoples-Jones","CLE","HOU","WR","3000","7.8","-1.1","7.2","19185082","14.2"
"DJ Chark Jr.","JAX","DEN","WR","5600","13.0","-1.1","0.5","19184532","17.8"
"Van Jefferson Jr.","LA","IND","WR","3500","8.6","-1.3","1.4","19184632","14.0"
"Mac Jones","NE","NYJ","QB","5400","15.5","-1.3","0.6","19184013","22.0"
"Eli Mitchell","SF","PHI","RB","5000","11.6","-1.3","7.0","19184146","17.8"
"Bills ","BUF","MIA","DST","3300","6.3","-1.3","0.5","19185508","10.8"
"Buccaneers ","TB","ATL","DST","4100","7.8","-1.3","0.8","19185503","12.9"
"K.J. Osborn","MIN","ARI","WR","3300","8.2","-1.4","0.5","19184656","12.8"
"DeVonta Smith","PHI","SF","WR","5400","12.3","-1.4","5.1","19184540","17.7"
"Leonard Fournette","TB","ATL","RB","5100","11.8","-1.4","4.4","19184138","18.5"
"Colts ","IND","LA","DST","2500","4.6","-1.4","2.8","19185518","8.4"
"Seahawks ","SEA","TEN","DST","3000","5.6","-1.4","0.5","19185511","9.8"
"Devin Singletary","BUF","MIA","RB","4900","11.2","-1.5","0.6","19184148","15.7"
"Melvin Gordon III","DEN","JAX","RB","5900","13.2","-1.5","0.5","19184120","20.8"
"James O'Shaughnessy","JAX","DEN","TE","2700","6.8","-1.5","5.3","19185232","9.5"
"Myles Gaskin","MIA","BUF","RB","5900","13.2","-1.5","4.2","19184122","18.3"
"DeVante Parker","MIA","BUF","WR","5500","12.4","-1.5","1.5","19184538","17.1"
"49ers ","SF","PHI","DST","3600","6.7","-1.5","0.5","19185506","11.3"
"James Conner","ARI","MIN","RB","4400","10.1","-1.6","0.5","19184176","15.8"
"James White","NE","NYJ","RB","4600","10.5","-1.6","1.9","19184162","16.6"
"Texans ","HOU","CLE","DST","2000","3.3","-1.6","0.6","19185527","6.8"
"Anthony Schwartz","CLE","HOU","WR","3300","7.9","-1.7","0.8","19184662","14.1"
"Brandin Cooks","HOU","CLE","WR","5900","13.0","-1.7","1.3","19184524","17.6"
"Rob Gronkowski","TB","ATL","TE","4700","10.5","-1.8","4.0","19185150","17.5"
"Michael Pittman Jr.","IND","LA","WR","4300","9.7","-1.9","0.5","19184586","13.7"
"Bryan Edwards","LV","PIT","WR","3700","8.5","-1.9","1.4","19184618","12.2"
"Elijah Moore","NYJ","NE","WR","3500","8.1","-1.9","2.2","19184634","11.1"
"Miles Sanders","PHI","SF","RB","6900","14.8","-1.9","0.5","19184106","20.5"
"Jalen Reagor","PHI","SF","WR","4100","9.3","-1.9","0.5","19184596","13.4"
"Cowboys ","DAL","LAC","DST","2400","3.9","-1.9","1.0","19185521","7.5"
"Titans ","TEN","SEA","DST","2200","3.5","-1.9","2.3","19185524","6.9"
"Jarvis Landry","CLE","HOU","WR","6300","13.5","-2.0","1.6","19184508","21.6"
"Will Dissly","SEA","TEN","TE","3000","7.0","-2.0","1.7","19185194","12.4"
"Pharaoh Brown","HOU","CLE","TE","2900","6.7","-2.1","0.5","19185220","9.0"
"KJ Hamler","DEN","JAX","WR","3800","8.3","-2.2","3.0","19184610","13.3"
"Kareem Hunt","CLE","HOU","RB","5800","12.2","-2.3","3.0","19184124","19.9"
"Trevor Lawrence","JAX","DEN","QB","6000","16.3","-2.3","0.5","19184005","22.9"
"Nelson Agholor","NE","NYJ","WR","4800","10.2","-2.3","0.5","19184566","15.8"
"Jimmy Garoppolo","SF","PHI","QB","5700","15.4","-2.3","0.5","19184008","18.4"
"Raiders ","LV","PIT","DST","2800","4.2","-2.3","0.2","19185514","8.0"
"Henry Ruggs III","LV","PIT","WR","4200","8.9","-2.4","0.5","19184590","12.9"
"Robby Anderson","CAR","NO","WR","5800","12.0","-2.5","0.5","19184526","16.5"
