Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2897172873,$5K Wrangler Long Live Sports Series,115248071,$0,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,1. Column A lists all of your contest entries for this draftgroup
2897172875,Draft Time Matchups presented by Miller Lite,115248121,$0,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,2. Your current lineup is listed next to each entry (blank for reservations)
2897188771,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2897188772,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2897188773,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,5. For faster processing only include entries you are changing in the file you upload
2897188774,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,
2897188775,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2897188776,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Davante Adams (19624851),Davante Adams,19624851,WR/FLEX,9000,GB@CHI 10/17/2021 01:00PM ET,GB,24.18
2897188777,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Christian McCaffrey (19624613),Christian McCaffrey,19624613,RB/FLEX,8800,MIN@CAR 10/17/2021 01:00PM ET,CAR,19.47
2897188778,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Tyreek Hill (19624853),Tyreek Hill,19624853,WR/FLEX,8500,KC@WAS 10/17/2021 01:00PM ET,KC,24.42
2897188779,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Patrick Mahomes (19624545),Patrick Mahomes,19624545,QB,8300,KC@WAS 10/17/2021 01:00PM ET,KC,28.78
2897188780,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Mike Williams (19624855),Mike Williams,19624855,WR/FLEX,8100,LAC@BAL 10/17/2021 01:00PM ET,LAC,24.42
2897188781,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Justin Jefferson (19624857),Justin Jefferson,19624857,WR/FLEX,8000,MIN@CAR 10/17/2021 01:00PM ET,MIN,20.73
2897188782,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Cooper Kupp (19624859),Cooper Kupp,19624859,WR/FLEX,7900,LAR@NYG 10/17/2021 01:00PM ET,LAR,24.96
2897188783,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Austin Ekeler (19624615),Austin Ekeler,19624615,RB/FLEX,7900,LAC@BAL 10/17/2021 01:00PM ET,LAC,24.66
2897188784,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Kyler Murray (19624546),Kyler Murray,19624546,QB,7900,ARI@CLE 10/17/2021 04:05PM ET,ARI,26.30
2897188785,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,DeAndre Hopkins (19624861),DeAndre Hopkins,19624861,WR/FLEX,7800,ARI@CLE 10/17/2021 04:05PM ET,ARI,15.64
2897188786,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Dalvin Cook (19624617),Dalvin Cook,19624617,RB/FLEX,7700,MIN@CAR 10/17/2021 01:00PM ET,MIN,15.87
2897188787,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Lamar Jackson (19624547),Lamar Jackson,19624547,QB,7400,LAC@BAL 10/17/2021 01:00PM ET,BAL,29.17
2897188788,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Aaron Jones (19624619),Aaron Jones,19624619,RB/FLEX,7300,GB@CHI 10/17/2021 01:00PM ET,GB,18.62
2897188789,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Justin Herbert (19624548),Justin Herbert,19624548,QB,7300,LAC@BAL 10/17/2021 01:00PM ET,LAC,27.21
2897188790,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,DJ Moore (19624863),DJ Moore,19624863,WR/FLEX,7300,MIN@CAR 10/17/2021 01:00PM ET,CAR,20.9
2897188791,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Aaron Rodgers (19624549),Aaron Rodgers,19624549,QB,7200,GB@CHI 10/17/2021 01:00PM ET,GB,19.41
2897188792,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Nick Chubb (19624621),Nick Chubb,19624621,RB/FLEX,7200,ARI@CLE 10/17/2021 04:05PM ET,CLE,17.96
2897188793,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Terry McLaurin (19624865),Terry McLaurin,19624865,WR/FLEX,7100,KC@WAS 10/17/2021 01:00PM ET,WAS,18.6
2897188794,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Dak Prescott (19624550),Dak Prescott,19624550,QB,7100,DAL@NE 10/17/2021 04:25PM ET,DAL,22.74
2897188795,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Ezekiel Elliott (19624623),Ezekiel Elliott,19624623,RB/FLEX,7100,DAL@NE 10/17/2021 04:25PM ET,DAL,20.34
2897188796,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,TE,Travis Kelce (19625231),Travis Kelce,19625231,TE/FLEX,7000,KC@WAS 10/17/2021 01:00PM ET,KC,19.38
2897188797,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Saquon Barkley (19624625),Saquon Barkley,19624625,RB/FLEX,6800,LAR@NYG 10/17/2021 01:00PM ET,NYG,12.9
2897188798,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Matthew Stafford (19624551),Matthew Stafford,19624551,QB,6700,LAR@NYG 10/17/2021 01:00PM ET,LAR,23.78
2897188799,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Ja'Marr Chase (19624867),Ja'Marr Chase,19624867,WR/FLEX,6700,CIN@DET 10/17/2021 01:00PM ET,CIN,20.88
